DATE,AVG_DUR_U
01/01/1948,8.9
01/02/1948,8.4
01/03/1948,8.7
01/04/1948,8.5
01/05/1948,9.1
01/06/1948,8.8
01/07/1948,8.6
01/08/1948,8.8
01/09/1948,8.5
01/10/1948,9.5
01/11/1948,7.8
01/12/1948,8.1
01/01/1949,8.2
01/02/1949,8.3
01/03/1949,8.3
01/04/1949,8.8
01/05/1949,9.1
01/06/1949,10
01/07/1949,10.8
01/08/1949,11
01/09/1949,11.7
01/10/1949,10.9
01/11/1949,11.6
01/12/1949,11.8
01/01/1950,11.3
01/02/1950,11.8
01/03/1950,12.4
01/04/1950,12.6
01/05/1950,12.7
01/06/1950,13.1
01/07/1950,12.5
01/08/1950,12.2
01/09/1950,12.2
01/10/1950,12.3
01/11/1950,10.7
01/12/1950,10.7
01/01/1951,10.6
01/02/1951,10.8
01/03/1951,10.1
01/04/1951,10.6
01/05/1951,9.9
01/06/1951,8.7
01/07/1951,9.2
01/08/1951,9.1
01/09/1951,9.1
01/10/1951,8.9
01/11/1951,9.7
01/12/1951,9.3
01/01/1952,9.3
01/02/1952,8.8
01/03/1952,8.4
01/04/1952,9
01/05/1952,7.8
01/06/1952,7.3
01/07/1952,7.5
01/08/1952,7.6
01/09/1952,8.1
01/10/1952,9.1
01/11/1952,9.5
01/12/1952,8.8
01/01/1953,9.3
01/02/1953,8.4
01/03/1953,8.5
01/04/1953,7.8
01/05/1953,7.9
01/06/1953,8.2
01/07/1953,7.9
01/08/1953,8
01/09/1953,7.1
01/10/1953,7.2
01/11/1953,7.9
01/12/1953,8
01/01/1954,8.7
01/02/1954,9.5
01/03/1954,10.6
01/04/1954,10.9
01/05/1954,11.6
01/06/1954,12.3
01/07/1954,12.5
01/08/1954,12.8
01/09/1954,12.9
01/10/1954,13.3
01/11/1954,13.2
01/12/1954,13.4
01/01/1955,13.4
01/02/1955,14.2
01/03/1955,13.4
01/04/1955,14.3
01/05/1955,14.4
01/06/1955,13.4
01/07/1955,13.8
01/08/1955,12.3
01/09/1955,11.7
01/10/1955,11.5
01/11/1955,11.3
01/12/1955,12
01/01/1956,11.7
01/02/1956,12.5
01/03/1956,11.6
01/04/1956,11
01/05/1956,10.4
01/06/1956,10.1
01/07/1956,10.5
01/08/1956,12
01/09/1956,11.8
01/10/1956,11.6
01/11/1956,10.9
01/12/1956,11.4
01/01/1957,10.4
01/02/1957,10.7
01/03/1957,10.8
01/04/1957,10.6
01/05/1957,10.4
01/06/1957,10.2
01/07/1957,10.1
01/08/1957,10.5
01/09/1957,9.8
01/10/1957,11.1
01/11/1957,10.4
01/12/1957,10.4
