DATE,16-19m,20-24m,25-34m,35-44m,45-54m,55-64m,65plusm
01/01/1948,245,338,264,204,182,213,95
01/02/1948,284,349,277,234,205,223,96
01/03/1948,315,415,275,249,190,182,99
01/04/1948,263,363,334,254,196,191,73
01/05/1948,196,350,294,234,179,162,79
01/06/1948,249,322,255,223,172,141,68
01/07/1948,269,283,253,233,177,158,58
01/08/1948,269,292,323,222,194,161,65
01/09/1948,248,293,290,246,254,147,73
01/10/1948,238,259,305,226,195,141,72
01/11/1948,245,265,330,226,223,198,82
01/12/1948,233,322,288,248,247,208,116
01/01/1949,260,356,376,274,252,270,112
01/02/1949,269,392,395,325,287,341,143
01/03/1949,337,433,456,334,290,328,141
01/04/1949,357,428,472,350,298,294,134
01/05/1949,374,529,549,413,359,293,129
01/06/1949,353,520,610,430,367,276,125
01/07/1949,362,586,593,442,372,343,128
01/08/1949,409,571,555,482,373,324,126
01/09/1949,366,509,582,507,367,319,124
01/10/1949,422,577,927,591,500,318,103
01/11/1949,387,514,580,513,397,300,114
01/12/1949,392,464,619,481,411,314,116
01/01/1950,427,515,593,360,414,411,160
01/02/1950,412,509,568,401,408,441,165
01/03/1950,353,498,576,431,384,416,139
01/04/1950,348,435,543,417,374,395,130
01/05/1950,358,396,516,395,331,290,108
01/06/1950,317,350,470,339,309,308,124
01/07/1950,272,342,462,313,326,249,101
01/08/1950,274,330,361,303,273,179,91
01/09/1950,285,353,339,307,270,158,99
01/10/1950,269,191,326,285,271,164,90
01/11/1950,225,262,314,262,239,181,99
01/12/1950,234,214,356,277,219,235,99
01/01/1951,203,180,273,247,190,279,135
01/02/1951,186,168,257,198,172,279,139
01/03/1951,178,153,236,182,176,190,133
01/04/1951,179,156,172,152,186,181,92
01/05/1951,161,140,198,160,179,144,78
01/06/1951,192,152,211,190,196,145,93
01/07/1951,211,156,236,181,189,144,46
01/08/1951,188,121,250,207,209,104,52
01/09/1951,189,144,260,184,240,98,66
01/10/1951,186,159,316,176,198,134,74
01/11/1951,228,185,255,236,199,118,72
01/12/1951,182,134,244,177,196,132,66
01/01/1952,228,151,250,189,195,196,62
01/02/1952,223,147,233,225,183,184,102
01/03/1952,208,125,202,193,214,180,88
01/04/1952,201,145,227,184,157,142,108
01/05/1952,206,140,195,175,182,136,74
01/06/1952,201,149,230,181,236,138,62
01/07/1952,204,159,262,218,201,166,58
01/08/1952,183,172,279,242,185,142,74
01/09/1952,219,242,288,159,151,114,78
01/10/1952,174,160,203,175,166,96,64
01/11/1952,204,123,229,176,161,118,50
01/12/1952,195,169,198,165,143,133,50
01/01/1953,158,132,279,215,202,212,90
01/02/1953,159,132,195,154,190,228,88
01/03/1953,176,139,157,178,160,182,82
01/04/1953,163,167,216,212,166,174,66
01/05/1953,153,115,252,190,204,138,36
01/06/1953,169,131,219,178,193,108,52
01/07/1953,178,99,190,210,173,178,54
01/08/1953,184,142,202,196,137,134,30
01/09/1953,176,160,216,182,213,127,50
01/10/1953,231,116,239,249,221,124,43
01/11/1953,219,197,321,254,229,194,55
01/12/1953,268,308,390,301,272,202,77
01/01/1954,276,294,399,327,325,287,105
01/02/1954,347,328,465,380,335,319,110
01/03/1954,340,342,526,401,359,322,134
01/04/1954,340,322,553,432,411,319,135
01/05/1954,347,340,602,470,391,279,108
01/06/1954,229,315,532,479,398,272,104
01/07/1954,323,323,545,446,391,269,109
01/08/1954,363,337,600,459,390,225,121
01/09/1954,356,361,559,594,399,243,84
01/10/1954,266,329,637,470,404,231,105
01/11/1954,295,353,494,400,361,251,119
01/12/1954,298,304,375,429,345,279,108
01/01/1955,294,299,390,391,305,359,153
01/02/1955,266,249,416,389,298,371,111
01/03/1955,254,254,445,366,302,323,114
01/04/1955,258,265,470,368,359,310,104
01/05/1955,264,256,304,356,284,244,87
01/06/1955,262,256,278,314,261,264,77
01/07/1955,269,289,272,268,268,235,58
01/08/1955,286,242,280,269,267,231,80
01/09/1955,283,223,310,300,192,187,84
01/10/1955,299,207,330,257,258,225,104
01/11/1955,291,202,301,287,295,217,113
01/12/1955,279,193,333,271,284,212,137
01/01/1956,266,218,341,273,272,294,110
01/02/1956,278,215,324,251,323,281,129
01/03/1956,237,237,349,278,322,259,92
01/04/1956,261,251,305,260,254,258,91
01/05/1956,299,259,339,286,256,222,104
01/06/1956,294,257,403,297,206,192,92
01/07/1956,273,240,388,294,233,185,83
01/08/1956,250,246,358,297,234,141,77
01/09/1956,229,221,371,276,241,162,61
01/10/1956,237,237,333,255,252,144,72
01/11/1956,332,239,346,290,282,205,88
01/12/1956,247,265,332,298,301,252,85
01/01/1957,307,247,319,296,296,263,94
01/02/1957,247,255,309,276,267,271,102
01/03/1957,303,206,271,272,248,270,98
01/04/1957,292,245,316,299,271,227,88
01/05/1957,274,262,317,242,267,228,78
01/06/1957,301,312,335,256,319,183,75
01/07/1957,299,247,359,267,292,174,78
01/08/1957,277,278,343,275,269,190,58
01/09/1957,294,302,375,322,313,178,72
01/10/1957,297,318,394,368,346,183,69
01/11/1957,391,391,432,398,382,218,85
01/12/1957,331,385,497,408,387,259,104
01/01/1958,358,429,591,447,386,326,109
01/02/1958,387,469,629,522,438,405,120
01/03/1958,411,481,680,538,500,418,138
01/04/1958,437,506,781,575,555,398,132
01/05/1958,441,519,764,614,531,372,110
01/06/1958,376,520,796,607,595,315,102
01/07/1958,443,557,760,640,572,332,109
01/08/1958,425,504,729,638,612,321,122
01/09/1958,491,479,667,568,507,291,121
01/10/1958,431,483,648,551,465,285,149
01/11/1958,429,394,599,499,412,346,134
01/12/1958,415,401,611,496,417,381,147
01/01/1959,406,390,571,432,433,396,146
01/02/1959,382,391,554,470,419,389,155
01/03/1959,362,361,507,404,386,373,127
01/04/1959,379,299,451,349,354,294,120
