DATE,UNEMPLOY
01/12/2000,5634
01/01/2001,6023
01/02/2001,6089
01/03/2001,6141
01/04/2001,6271
01/05/2001,6226
01/06/2001,6484
01/07/2001,6583
01/08/2001,7042
01/09/2001,7142
01/10/2001,7694
01/11/2001,8003
01/12/2001,8258
01/01/2002,8182
01/02/2002,8215
01/03/2002,8304
01/04/2002,8599
01/05/2002,8399
01/06/2002,8393
01/07/2002,8390
01/08/2002,8304
01/09/2002,8251
01/10/2002,8307
01/11/2002,8520
01/12/2002,8640
01/01/2003,8520
01/02/2003,8618
01/03/2003,8588
01/04/2003,8842
01/05/2003,8957
01/06/2003,9266
01/07/2003,9011
01/08/2003,8896
01/09/2003,8921
01/10/2003,8732
01/11/2003,8576
01/12/2003,8317
01/01/2004,8370
01/02/2004,8167
01/03/2004,8491
01/04/2004,8170
01/05/2004,8212
01/06/2004,8286
01/07/2004,8136
01/08/2004,7990
01/09/2004,7927
01/10/2004,8061
01/11/2004,7932
01/12/2004,7934
01/01/2005,7784
01/02/2005,7980
01/03/2005,7737
01/04/2005,7672
01/05/2005,7651
01/06/2005,7524
01/07/2005,7406
01/08/2005,7345
01/09/2005,7553
01/10/2005,7453
01/11/2005,7566
01/12/2005,7279
01/01/2006,7064
01/02/2006,7184
01/03/2006,7072
01/04/2006,7120
01/05/2006,6980
01/06/2006,7001
01/07/2006,7175
01/08/2006,7091
01/09/2006,6847
01/10/2006,6727
01/11/2006,6872
01/12/2006,6762
01/01/2007,7116
01/02/2007,6927
01/03/2007,6731
01/04/2007,6850
01/05/2007,6766
01/06/2007,6979
01/07/2007,7149
01/08/2007,7067
01/09/2007,7170
01/10/2007,7237
01/11/2007,7240
01/12/2007,7645
01/01/2008,7685
01/02/2008,7497
01/03/2008,7822
01/04/2008,7637
01/05/2008,8395
01/06/2008,8575
01/07/2008,8937
01/08/2008,9438
01/09/2008,9494
01/10/2008,10074
01/11/2008,10538
01/12/2008,11286
01/01/2009,12058
01/02/2009,12898
01/03/2009,13426
01/04/2009,13853
01/05/2009,14499
01/06/2009,14707
01/07/2009,14601
01/08/2009,14814
01/09/2009,15009
01/10/2009,15352
01/11/2009,15219
01/12/2009,15098
01/01/2010,15046
01/02/2010,15113
01/03/2010,15202
01/04/2010,15325
01/05/2010,14849
01/06/2010,14474
01/07/2010,14512
01/08/2010,14648
01/09/2010,14579
01/10/2010,14516
01/11/2010,15081
01/12/2010,14348
01/01/2011,14013
01/02/2011,13820
01/03/2011,13737
01/04/2011,13957
01/05/2011,13855
01/06/2011,13962
01/07/2011,13763
01/08/2011,13818
01/09/2011,13948
01/10/2011,13594
01/11/2011,13302
01/12/2011,13093
01/01/2012,12797
01/02/2012,12813
01/03/2012,12713
01/04/2012,12646
01/05/2012,12660
01/06/2012,12692
01/07/2012,12656
01/08/2012,12471
01/09/2012,12115
01/10/2012,12124
01/11/2012,12005
01/12/2012,12298
01/01/2013,12471
01/02/2013,11950
01/03/2013,11689
01/04/2013,11760
01/05/2013,11654
01/06/2013,11751
01/07/2013,11335
01/08/2013,11279
01/09/2013,11270
01/10/2013,11136
01/11/2013,10787
01/12/2013,10404
01/01/2014,10202
01/02/2014,10349
01/03/2014,10380
01/04/2014,9702
01/05/2014,9859
01/06/2014,9460
01/07/2014,9608
01/08/2014,9599
01/09/2014,9262
01/10/2014,8990
01/11/2014,9090
01/12/2014,8717
01/01/2015,8885
01/02/2015,8599
01/03/2015,8515
01/04/2015,8550
01/05/2015,8834
01/06/2015,8247
01/07/2015,8167
01/08/2015,7992
01/09/2015,7907
01/10/2015,7922
01/11/2015,8000
01/12/2015,7907
01/01/2016,7627
01/02/2016,7702
01/03/2016,7961
01/04/2016,8067
01/05/2016,7652
01/06/2016,7744
01/07/2016,7641
01/08/2016,7784
01/09/2016,7953
01/10/2016,7811
01/11/2016,7553
01/12/2016,7521
01/01/2017,7466
01/02/2017,7376
01/03/2017,7119
01/04/2017,7196
01/05/2017,7020
01/06/2017,6861
01/07/2017,6825
01/08/2017,7079
01/09/2017,6840
01/10/2017,6620
01/11/2017,6759
01/12/2017,6632
01/01/2018,6496
01/02/2018,6590
01/03/2018,6499
01/04/2018,6551
01/05/2018,6209
01/06/2018,6432
01/07/2018,6130
01/08/2018,6167
01/09/2018,6037
01/10/2018,6164
01/11/2018,6115
01/12/2018,6379
01/01/2019,6442
01/02/2019,6128
01/03/2019,6201
01/04/2019,5995
01/05/2019,5965
01/06/2019,5914
01/07/2019,5969
01/08/2019,6000
01/09/2019,5728
01/10/2019,5922
01/11/2019,5907
01/12/2019,5844
01/01/2020,5796
01/02/2020,5717
