DATE,LNU03034256
01/12/2000,533
01/01/2001,661
01/02/2001,687
01/03/2001,694
01/04/2001,663
01/05/2001,648
01/06/2001,743
01/07/2001,687
01/08/2001,636
01/09/2001,748
01/10/2001,737
01/11/2001,749
01/12/2001,775
01/01/2002,771
01/02/2002,770
01/03/2002,800
01/04/2002,786
01/05/2002,852
01/06/2002,859
01/07/2002,834
01/08/2002,735
01/09/2002,741
01/10/2002,781
01/11/2002,807
01/12/2002,735
01/01/2003,848
01/02/2003,922
01/03/2003,874
01/04/2003,828
01/05/2003,831
01/06/2003,933
01/07/2003,889
01/08/2003,920
01/09/2003,796
01/10/2003,799
01/11/2003,828
01/12/2003,741
01/01/2004,893
01/02/2004,854
01/03/2004,867
01/04/2004,774
01/05/2004,851
01/06/2004,972
01/07/2004,836
01/08/2004,852
01/09/2004,715
01/10/2004,730
01/11/2004,800
01/12/2004,734
01/01/2005,858
01/02/2005,837
01/03/2005,804
01/04/2005,738
01/05/2005,785
01/06/2005,833
01/07/2005,787
01/08/2005,707
01/09/2005,698
01/10/2005,678
01/11/2005,816
01/12/2005,766
01/01/2006,739
01/02/2006,838
01/03/2006,745
01/04/2006,747
01/05/2006,700
01/06/2006,803
01/07/2006,721
01/08/2006,726
01/09/2006,696
01/10/2006,647
01/11/2006,688
01/12/2006,556
01/01/2007,724
01/02/2007,675
01/03/2007,678
01/04/2007,666
01/05/2007,730
01/06/2007,756
01/07/2007,759
01/08/2007,744
01/09/2007,704
01/10/2007,795
01/11/2007,816
01/12/2007,787
01/01/2008,960
01/02/2008,867
01/03/2008,792
01/04/2008,734
01/05/2008,902
01/06/2008,983
01/07/2008,976
01/08/2008,939
01/09/2008,835
01/10/2008,877
01/11/2008,992
01/12/2008,1033
01/01/2009,1234
01/02/2009,1254
01/03/2009,1216
01/04/2009,1067
01/05/2009,1316
01/06/2009,1378
01/07/2009,1327
01/08/2009,1368
01/09/2009,1215
01/10/2009,1302
01/11/2009,1183
01/12/2009,1303
01/01/2010,1434
01/02/2010,1318
01/03/2010,1289
01/04/2010,1355
01/05/2010,1345
01/06/2010,1327
01/07/2010,1333
01/08/2010,1257
01/09/2010,1237
01/10/2010,1173
01/11/2010,1262
01/12/2010,1284
01/01/2011,1459
01/02/2011,1428
01/03/2011,1308
01/04/2011,1202
01/05/2011,1140
01/06/2011,1243
01/07/2011,1284
01/08/2011,1149
01/09/2011,1250
01/10/2011,1187
01/11/2011,1186
01/12/2011,1112
01/01/2012,1304
01/02/2012,1252
01/03/2012,1181
01/04/2012,1080
01/05/2012,1076
01/06/2012,1159
01/07/2012,1164
01/08/2012,1202
01/09/2012,1072
01/10/2012,1135
01/11/2012,1121
01/12/2012,1179
01/01/2013,1324
01/02/2013,1219
01/03/2013,1173
01/04/2013,1086
01/05/2013,1228
01/06/2013,1305
01/07/2013,1245
01/08/2013,1113
01/09/2013,996
01/10/2013,977
01/11/2013,967
01/12/2013,958
01/01/2014,1005
01/02/2014,1083
01/03/2014,1097
01/04/2014,870
01/05/2014,939
01/06/2014,1000
01/07/2014,918
01/08/2014,892
01/09/2014,875
01/10/2014,998
01/11/2014,944
01/12/2014,856
01/01/2015,1046
01/02/2015,925
01/03/2015,898
01/04/2015,855
01/05/2015,956
01/06/2015,938
01/07/2015,983
01/08/2015,867
01/09/2015,840
01/10/2015,895
01/11/2015,801
01/12/2015,818
01/01/2016,865
01/02/2016,779
01/03/2016,829
01/04/2016,776
01/05/2016,774
01/06/2016,788
01/07/2016,738
01/08/2016,787
01/09/2016,749
01/10/2016,746
01/11/2016,826
01/12/2016,747
01/01/2017,897
01/02/2017,767
01/03/2017,708
01/04/2017,660
01/05/2017,721
01/06/2017,785
01/07/2017,630
01/08/2017,645
01/09/2017,572
01/10/2017,636
01/11/2017,705
01/12/2017,671
01/01/2018,715
01/02/2018,724
01/03/2018,652
01/04/2018,624
01/05/2018,600
01/06/2018,739
01/07/2018,626
01/08/2018,650
01/09/2018,572
01/10/2018,580
01/11/2018,572
01/12/2018,630
01/01/2019,701
01/02/2019,679
01/03/2019,662
01/04/2019,511
01/05/2019,585
01/06/2019,620
01/07/2019,693
01/08/2019,563
01/09/2019,534
01/10/2019,616
01/11/2019,540
01/12/2019,553
01/01/2020,708
01/02/2020,674
