DATE,LNU03034253
01/12/2000,106
01/01/2001,146
01/02/2001,134
01/03/2001,123
01/04/2001,81
01/05/2001,83
01/06/2001,78
01/07/2001,126
01/08/2001,131
01/09/2001,153
01/10/2001,166
01/11/2001,185
01/12/2001,163
01/01/2002,175
01/02/2002,203
01/03/2002,176
01/04/2002,168
01/05/2002,171
01/06/2002,175
01/07/2002,165
01/08/2002,149
01/09/2002,144
01/10/2002,175
01/11/2002,171
01/12/2002,187
01/01/2003,201
01/02/2003,222
01/03/2003,161
01/04/2003,158
01/05/2003,124
01/06/2003,115
01/07/2003,131
01/08/2003,130
01/09/2003,181
01/10/2003,134
01/11/2003,162
01/12/2003,144
01/01/2004,203
01/02/2004,133
01/03/2004,172
01/04/2004,151
01/05/2004,125
01/06/2004,217
01/07/2004,129
01/08/2004,158
01/09/2004,139
01/10/2004,123
01/11/2004,116
01/12/2004,116
01/01/2005,135
01/02/2005,171
01/03/2005,162
01/04/2005,144
01/05/2005,159
01/06/2005,117
01/07/2005,142
01/08/2005,136
01/09/2005,144
01/10/2005,118
01/11/2005,150
01/12/2005,164
01/01/2006,171
01/02/2006,203
01/03/2006,172
01/04/2006,135
01/05/2006,130
01/06/2006,140
01/07/2006,146
01/08/2006,129
01/09/2006,114
01/10/2006,148
01/11/2006,148
01/12/2006,145
01/01/2007,187
01/02/2007,205
01/03/2007,167
01/04/2007,156
01/05/2007,100
01/06/2007,161
01/07/2007,161
01/08/2007,133
01/09/2007,187
01/10/2007,116
01/11/2007,170
01/12/2007,174
01/01/2008,216
01/02/2008,189
01/03/2008,152
01/04/2008,139
01/05/2008,172
01/06/2008,171
01/07/2008,197
01/08/2008,183
01/09/2008,194
01/10/2008,249
01/11/2008,290
01/12/2008,178
01/01/2009,253
01/02/2009,224
01/03/2009,268
01/04/2009,255
01/05/2009,283
01/06/2009,310
01/07/2009,273
01/08/2009,269
01/09/2009,254
01/10/2009,302
01/11/2009,341
01/12/2009,321
01/01/2010,370
01/02/2010,280
01/03/2010,282
01/04/2010,278
01/05/2010,256
01/06/2010,282
01/07/2010,237
01/08/2010,250
01/09/2010,299
01/10/2010,285
01/11/2010,372
01/12/2010,296
01/01/2011,329
01/02/2011,354
01/03/2011,386
01/04/2011,280
01/05/2011,262
01/06/2011,240
01/07/2011,226
01/08/2011,251
01/09/2011,243
01/10/2011,260
01/11/2011,265
01/12/2011,283
01/01/2012,343
01/02/2012,244
01/03/2012,214
01/04/2012,210
01/05/2012,250
01/06/2012,248
01/07/2012,256
01/08/2012,214
01/09/2012,240
01/10/2012,217
01/11/2012,233
01/12/2012,246
01/01/2013,288
01/02/2013,287
01/03/2013,293
01/04/2013,241
01/05/2013,227
01/06/2013,253
01/07/2013,225
01/08/2013,213
01/09/2013,240
01/10/2013,208
01/11/2013,246
01/12/2013,236
01/01/2014,227
01/02/2014,253
01/03/2014,215
01/04/2014,177
01/05/2014,174
01/06/2014,228
01/07/2014,253
01/08/2014,257
01/09/2014,235
01/10/2014,171
01/11/2014,184
01/12/2014,166
01/01/2015,214
01/02/2015,240
01/03/2015,237
01/04/2015,214
01/05/2015,161
01/06/2015,163
01/07/2015,157
01/08/2015,145
01/09/2015,168
01/10/2015,186
01/11/2015,204
01/12/2015,199
01/01/2016,191
01/02/2016,186
01/03/2016,152
01/04/2016,117
01/05/2016,160
01/06/2016,165
01/07/2016,151
01/08/2016,175
01/09/2016,168
01/10/2016,183
01/11/2016,186
01/12/2016,151
01/01/2017,196
01/02/2017,186
01/03/2017,175
01/04/2017,159
01/05/2017,184
01/06/2017,110
01/07/2017,109
01/08/2017,120
01/09/2017,136
01/10/2017,161
01/11/2017,177
01/12/2017,163
01/01/2018,188
01/02/2018,179
01/03/2018,156
01/04/2018,95
01/05/2018,106
01/06/2018,111
01/07/2018,153
01/08/2018,159
01/09/2018,150
01/10/2018,167
01/11/2018,156
01/12/2018,185
01/01/2019,175
01/02/2019,115
01/03/2019,165
01/04/2019,136
01/05/2019,160
01/06/2019,119
01/07/2019,112
01/08/2019,165
01/09/2019,144
01/10/2019,132
01/11/2019,143
01/12/2019,132
01/01/2020,125
01/02/2020,125
