DATE,LNU03034514
01/12/2000,578
01/01/2001,745
01/02/2001,725
01/03/2001,666
01/04/2001,666
01/05/2001,661
01/06/2001,706
01/07/2001,739
01/08/2001,810
01/09/2001,827
01/10/2001,926
01/11/2001,959
01/12/2001,937
01/01/2002,1139
01/02/2002,975
01/03/2002,967
01/04/2002,954
01/05/2002,986
01/06/2002,1094
01/07/2002,1095
01/08/2002,936
01/09/2002,1010
01/10/2002,968
01/11/2002,1040
01/12/2002,1044
01/01/2003,1125
01/02/2003,1147
01/03/2003,1197
01/04/2003,1091
01/05/2003,1116
01/06/2003,1112
01/07/2003,1048
01/08/2003,909
01/09/2003,989
01/10/2003,1029
01/11/2003,957
01/12/2003,967
01/01/2004,1082
01/02/2004,977
01/03/2004,1009
01/04/2004,767
01/05/2004,840
01/06/2004,823
01/07/2004,799
01/08/2004,850
01/09/2004,762
01/10/2004,803
01/11/2004,884
01/12/2004,895
01/01/2005,976
01/02/2005,923
01/03/2005,815
01/04/2005,732
01/05/2005,738
01/06/2005,758
01/07/2005,831
01/08/2005,739
01/09/2005,884
01/10/2005,770
01/11/2005,727
01/12/2005,799
01/01/2006,830
01/02/2006,851
01/03/2006,838
01/04/2006,655
01/05/2006,707
01/06/2006,761
01/07/2006,747
01/08/2006,701
01/09/2006,757
01/10/2006,780
01/11/2006,679
01/12/2006,811
01/01/2007,897
01/02/2007,835
01/03/2007,785
01/04/2007,694
01/05/2007,745
01/06/2007,734
01/07/2007,756
01/08/2007,696
01/09/2007,669
01/10/2007,687
01/11/2007,689
01/12/2007,830
01/01/2008,922
01/02/2008,894
01/03/2008,895
01/04/2008,747
01/05/2008,845
01/06/2008,906
01/07/2008,888
01/08/2008,986
01/09/2008,985
01/10/2008,1080
01/11/2008,1007
01/12/2008,1162
01/01/2009,1462
01/02/2009,1529
01/03/2009,1625
01/04/2009,1479
01/05/2009,1548
01/06/2009,1610
01/07/2009,1565
01/08/2009,1606
01/09/2009,1628
01/10/2009,1529
01/11/2009,1547
01/12/2009,1526
01/01/2010,1649
01/02/2010,1770
01/03/2010,1818
01/04/2010,1606
01/05/2010,1642
01/06/2010,1490
01/07/2010,1483
01/08/2010,1563
01/09/2010,1472
01/10/2010,1547
01/11/2010,1564
01/12/2010,1503
01/01/2011,1559
01/02/2011,1518
01/03/2011,1528
01/04/2011,1364
01/05/2011,1453
01/06/2011,1385
01/07/2011,1452
01/08/2011,1493
01/09/2011,1568
01/10/2011,1536
01/11/2011,1387
01/12/2011,1456
01/01/2012,1481
01/02/2012,1626
01/03/2012,1556
01/04/2012,1346
01/05/2012,1317
01/06/2012,1382
01/07/2012,1413
01/08/2012,1404
01/09/2012,1303
01/10/2012,1298
01/11/2012,1259
01/12/2012,1345
01/01/2013,1609
01/02/2013,1501
01/03/2013,1401
01/04/2013,1287
01/05/2013,1305
01/06/2013,1340
01/07/2013,1310
01/08/2013,1284
01/09/2013,1216
01/10/2013,1233
01/11/2013,1190
01/12/2013,1174
01/01/2014,1336
01/02/2014,1361
01/03/2014,1314
01/04/2014,1087
01/05/2014,1051
01/06/2014,1060
01/07/2014,1100
01/08/2014,1068
01/09/2014,1027
01/10/2014,1029
01/11/2014,993
01/12/2014,942
01/01/2015,1089
01/02/2015,929
01/03/2015,1034
01/04/2015,856
01/05/2015,989
01/06/2015,827
01/07/2015,895
01/08/2015,875
01/09/2015,872
01/10/2015,890
01/11/2015,865
01/12/2015,854
01/01/2016,901
01/02/2016,946
01/03/2016,915
01/04/2016,868
01/05/2016,736
01/06/2016,812
01/07/2016,829
01/08/2016,769
01/09/2016,912
01/10/2016,941
01/11/2016,771
01/12/2016,898
01/01/2017,972
01/02/2017,930
01/03/2017,921
01/04/2017,842
01/05/2017,703
01/06/2017,721
01/07/2017,705
01/08/2017,821
01/09/2017,734
01/10/2017,739
01/11/2017,712
01/12/2017,755
01/01/2018,879
01/02/2018,845
01/03/2018,741
01/04/2018,617
01/05/2018,691
01/06/2018,581
01/07/2018,644
01/08/2018,622
01/09/2018,570
01/10/2018,701
01/11/2018,638
01/12/2018,747
01/01/2019,879
01/02/2019,816
01/03/2019,708
01/04/2019,635
01/05/2019,626
01/06/2019,660
01/07/2019,651
01/08/2019,602
01/09/2019,604
01/10/2019,644
01/11/2019,663
01/12/2019,560
01/01/2020,734
01/02/2020,798
