DATE,LNU03034522
01/12/2000,409
01/01/2001,635
01/02/2001,539
01/03/2001,621
01/04/2001,474
01/05/2001,534
01/06/2001,762
01/07/2001,836
01/08/2001,876
01/09/2001,624
01/10/2001,655
01/11/2001,688
01/12/2001,657
01/01/2002,776
01/02/2002,746
01/03/2002,758
01/04/2002,660
01/05/2002,783
01/06/2002,976
01/07/2002,1098
01/08/2002,1034
01/09/2002,809
01/10/2002,705
01/11/2002,691
01/12/2002,724
01/01/2003,792
01/02/2003,785
01/03/2003,714
01/04/2003,803
01/05/2003,841
01/06/2003,1147
01/07/2003,1141
01/08/2003,1181
01/09/2003,896
01/10/2003,819
01/11/2003,862
01/12/2003,802
01/01/2004,889
01/02/2004,793
01/03/2004,803
01/04/2004,754
01/05/2004,745
01/06/2004,1067
01/07/2004,1152
01/08/2004,1014
01/09/2004,849
01/10/2004,728
01/11/2004,748
01/12/2004,773
01/01/2005,826
01/02/2005,782
01/03/2005,780
01/04/2005,804
01/05/2005,895
01/06/2005,1053
01/07/2005,1058
01/08/2005,992
01/09/2005,912
01/10/2005,814
01/11/2005,864
01/12/2005,674
01/01/2006,797
01/02/2006,738
01/03/2006,765
01/04/2006,743
01/05/2006,770
01/06/2006,938
01/07/2006,1060
01/08/2006,958
01/09/2006,749
01/10/2006,745
01/11/2006,720
01/12/2006,678
01/01/2007,734
01/02/2007,671
01/03/2007,647
01/04/2007,741
01/05/2007,822
01/06/2007,953
01/07/2007,1090
01/08/2007,1025
01/09/2007,891
01/10/2007,752
01/11/2007,707
01/12/2007,656
01/01/2008,757
01/02/2008,690
01/03/2008,747
01/04/2008,675
01/05/2008,775
01/06/2008,1010
01/07/2008,1195
01/08/2008,1223
01/09/2008,1049
01/10/2008,1012
01/11/2008,959
01/12/2008,973
01/01/2009,1058
01/02/2009,1018
01/03/2009,1167
01/04/2009,1182
01/05/2009,1276
01/06/2009,1762
01/07/2009,1871
01/08/2009,1814
01/09/2009,1669
01/10/2009,1575
01/11/2009,1452
01/12/2009,1481
01/01/2010,1555
01/02/2010,1497
01/03/2010,1396
01/04/2010,1358
01/05/2010,1499
01/06/2010,1829
01/07/2010,2036
01/08/2010,2068
01/09/2010,1796
01/10/2010,1632
01/11/2010,1647
01/12/2010,1430
01/01/2011,1637
01/02/2011,1556
01/03/2011,1465
01/04/2011,1382
01/05/2011,1598
01/06/2011,1854
01/07/2011,1947
01/08/2011,2056
01/09/2011,1607
01/10/2011,1594
01/11/2011,1491
01/12/2011,1518
01/01/2012,1552
01/02/2012,1489
01/03/2012,1477
01/04/2012,1356
01/05/2012,1523
01/06/2012,1946
01/07/2012,2115
01/08/2012,1954
01/09/2012,1600
01/10/2012,1632
01/11/2012,1509
01/12/2012,1545
01/01/2013,1568
01/02/2013,1501
01/03/2013,1421
01/04/2013,1275
01/05/2013,1364
01/06/2013,1851
01/07/2013,1880
01/08/2013,1666
01/09/2013,1461
01/10/2013,1206
01/11/2013,1107
01/12/2013,1065
01/01/2014,1157
01/02/2014,1145
01/03/2014,1159
01/04/2014,1048
01/05/2014,1086
01/06/2014,1432
01/07/2014,1610
01/08/2014,1504
01/09/2014,1119
01/10/2014,1225
01/11/2014,1142
01/12/2014,1042
01/01/2015,1089
01/02/2015,942
01/03/2015,900
01/04/2015,917
01/05/2015,977
01/06/2015,1354
01/07/2015,1544
01/08/2015,1433
01/09/2015,998
01/10/2015,941
01/11/2015,889
01/12/2015,899
01/01/2016,930
01/02/2016,923
01/03/2016,1000
01/04/2016,824
01/05/2016,868
01/06/2016,1279
01/07/2016,1429
01/08/2016,1431
01/09/2016,1076
01/10/2016,964
01/11/2016,882
01/12/2016,794
01/01/2017,790
01/02/2017,912
01/03/2017,814
01/04/2017,757
01/05/2017,822
01/06/2017,1139
01/07/2017,1396
01/08/2017,1397
01/09/2017,947
01/10/2017,815
01/11/2017,759
01/12/2017,890
01/01/2018,822
01/02/2018,756
01/03/2018,842
01/04/2018,748
01/05/2018,708
01/06/2018,1182
01/07/2018,1287
01/08/2018,1102
01/09/2018,849
01/10/2018,826
01/11/2018,737
01/12/2018,713
01/01/2019,830
01/02/2019,720
01/03/2019,691
01/04/2019,611
01/05/2019,765
01/06/2019,1208
01/07/2019,1338
01/08/2019,1080
01/09/2019,736
01/10/2019,720
01/11/2019,754
01/12/2019,744
01/01/2020,756
01/02/2020,708
