DATE,LNU03034199
01/12/2000,118
01/01/2001,156
01/02/2001,167
01/03/2001,159
01/04/2001,161
01/05/2001,131
01/06/2001,157
01/07/2001,202
01/08/2001,171
01/09/2001,196
01/10/2001,210
01/11/2001,258
01/12/2001,194
01/01/2002,173
01/02/2002,226
01/03/2002,191
01/04/2002,180
01/05/2002,233
01/06/2002,240
01/07/2002,235
01/08/2002,236
01/09/2002,218
01/10/2002,207
01/11/2002,223
01/12/2002,226
01/01/2003,225
01/02/2003,244
01/03/2003,237
01/04/2003,239
01/05/2003,234
01/06/2003,228
01/07/2003,187
01/08/2003,241
01/09/2003,198
01/10/2003,192
01/11/2003,191
01/12/2003,195
01/01/2004,278
01/02/2004,271
01/03/2004,243
01/04/2004,201
01/05/2004,217
01/06/2004,199
01/07/2004,207
01/08/2004,214
01/09/2004,249
01/10/2004,254
01/11/2004,188
01/12/2004,218
01/01/2005,167
01/02/2005,221
01/03/2005,172
01/04/2005,160
01/05/2005,190
01/06/2005,209
01/07/2005,219
01/08/2005,200
01/09/2005,194
01/10/2005,157
01/11/2005,175
01/12/2005,137
01/01/2006,133
01/02/2006,180
01/03/2006,213
01/04/2006,215
01/05/2006,203
01/06/2006,205
01/07/2006,235
01/08/2006,183
01/09/2006,135
01/10/2006,163
01/11/2006,139
01/12/2006,128
01/01/2007,132
01/02/2007,171
01/03/2007,134
01/04/2007,167
01/05/2007,196
01/06/2007,227
01/07/2007,208
01/08/2007,238
01/09/2007,204
01/10/2007,199
01/11/2007,179
01/12/2007,221
01/01/2008,225
01/02/2008,209
01/03/2008,214
01/04/2008,222
01/05/2008,240
01/06/2008,193
01/07/2008,233
01/08/2008,287
01/09/2008,279
01/10/2008,320
01/11/2008,321
01/12/2008,335
01/01/2009,383
01/02/2009,393
01/03/2009,398
01/04/2009,363
01/05/2009,335
01/06/2009,355
01/07/2009,389
01/08/2009,405
01/09/2009,454
01/10/2009,424
01/11/2009,411
01/12/2009,430
01/01/2010,420
01/02/2010,532
01/03/2010,522
01/04/2010,499
01/05/2010,451
01/06/2010,435
01/07/2010,408
01/08/2010,413
01/09/2010,418
01/10/2010,437
01/11/2010,406
01/12/2010,363
01/01/2011,434
01/02/2011,434
01/03/2011,434
01/04/2011,397
01/05/2011,405
01/06/2011,399
01/07/2011,358
01/08/2011,391
01/09/2011,381
01/10/2011,378
01/11/2011,393
01/12/2011,323
01/01/2012,264
01/02/2012,288
01/03/2012,330
01/04/2012,333
01/05/2012,303
01/06/2012,337
01/07/2012,313
01/08/2012,321
01/09/2012,302
01/10/2012,289
01/11/2012,295
01/12/2012,254
01/01/2013,303
01/02/2013,252
01/03/2013,266
01/04/2013,376
01/05/2013,300
01/06/2013,284
01/07/2013,253
01/08/2013,212
01/09/2013,221
01/10/2013,298
01/11/2013,259
01/12/2013,266
01/01/2014,251
01/02/2014,240
01/03/2014,244
01/04/2014,304
01/05/2014,319
01/06/2014,326
01/07/2014,285
01/08/2014,254
01/09/2014,233
01/10/2014,223
01/11/2014,218
01/12/2014,211
01/01/2015,160
01/02/2015,178
01/03/2015,173
01/04/2015,166
01/05/2015,136
01/06/2015,169
01/07/2015,146
01/08/2015,143
01/09/2015,172
01/10/2015,152
01/11/2015,152
01/12/2015,181
01/01/2016,191
01/02/2016,249
01/03/2016,201
01/04/2016,200
01/05/2016,149
01/06/2016,174
01/07/2016,161
01/08/2016,170
01/09/2016,139
01/10/2016,120
01/11/2016,126
01/12/2016,138
01/01/2017,204
01/02/2017,240
01/03/2017,172
01/04/2017,161
01/05/2017,156
01/06/2017,148
01/07/2017,152
01/08/2017,180
01/09/2017,189
01/10/2017,148
01/11/2017,123
01/12/2017,89
01/01/2018,143
01/02/2018,150
01/03/2018,114
01/04/2018,101
01/05/2018,118
01/06/2018,137
01/07/2018,148
01/08/2018,167
01/09/2018,180
01/10/2018,134
01/11/2018,140
01/12/2018,129
01/01/2019,148
01/02/2019,180
01/03/2019,176
01/04/2019,165
01/05/2019,111
01/06/2019,133
01/07/2019,106
01/08/2019,151
01/09/2019,131
01/10/2019,127
01/11/2019,162
01/12/2019,145
01/01/2020,161
01/02/2020,105
