DATE,LNU03034239
01/12/2000,266
01/01/2001,347
01/02/2001,370
01/03/2001,360
01/04/2001,286
01/05/2001,324
01/06/2001,357
01/07/2001,368
01/08/2001,413
01/09/2001,362
01/10/2001,421
01/11/2001,434
01/12/2001,398
01/01/2002,467
01/02/2002,499
01/03/2002,447
01/04/2002,414
01/05/2002,413
01/06/2002,445
01/07/2002,476
01/08/2002,492
01/09/2002,417
01/10/2002,397
01/11/2002,409
01/12/2002,458
01/01/2003,432
01/02/2003,471
01/03/2003,417
01/04/2003,486
01/05/2003,448
01/06/2003,555
01/07/2003,507
01/08/2003,542
01/09/2003,510
01/10/2003,532
01/11/2003,542
01/12/2003,492
01/01/2004,520
01/02/2004,494
01/03/2004,495
01/04/2004,491
01/05/2004,456
01/06/2004,577
01/07/2004,548
01/08/2004,449
01/09/2004,486
01/10/2004,425
01/11/2004,478
01/12/2004,452
01/01/2005,469
01/02/2005,481
01/03/2005,501
01/04/2005,497
01/05/2005,533
01/06/2005,476
01/07/2005,474
01/08/2005,491
01/09/2005,530
01/10/2005,506
01/11/2005,561
01/12/2005,453
01/01/2006,481
01/02/2006,441
01/03/2006,480
01/04/2006,466
01/05/2006,447
01/06/2006,458
01/07/2006,484
01/08/2006,445
01/09/2006,449
01/10/2006,428
01/11/2006,429
01/12/2006,421
01/01/2007,434
01/02/2007,388
01/03/2007,389
01/04/2007,438
01/05/2007,454
01/06/2007,412
01/07/2007,430
01/08/2007,479
01/09/2007,526
01/10/2007,430
01/11/2007,407
01/12/2007,407
01/01/2008,433
01/02/2008,421
01/03/2008,486
01/04/2008,466
01/05/2008,441
01/06/2008,492
01/07/2008,539
01/08/2008,575
01/09/2008,613
01/10/2008,581
01/11/2008,538
01/12/2008,570
01/01/2009,623
01/02/2009,684
01/03/2009,736
01/04/2009,750
01/05/2009,782
01/06/2009,870
01/07/2009,882
01/08/2009,861
01/09/2009,916
01/10/2009,974
01/11/2009,899
01/12/2009,930
01/01/2010,919
01/02/2010,971
01/03/2010,884
01/04/2010,863
01/05/2010,903
01/06/2010,1012
01/07/2010,1045
01/08/2010,1056
01/09/2010,1037
01/10/2010,960
01/11/2010,1017
01/12/2010,905
01/01/2011,974
01/02/2011,938
01/03/2011,911
01/04/2011,917
01/05/2011,978
01/06/2011,883
01/07/2011,894
01/08/2011,989
01/09/2011,972
01/10/2011,935
01/11/2011,846
01/12/2011,956
01/01/2012,937
01/02/2012,1023
01/03/2012,937
01/04/2012,842
01/05/2012,936
01/06/2012,977
01/07/2012,998
01/08/2012,977
01/09/2012,867
01/10/2012,957
01/11/2012,889
01/12/2012,910
01/01/2013,960
01/02/2013,956
01/03/2013,861
01/04/2013,757
01/05/2013,769
01/06/2013,821
01/07/2013,887
01/08/2013,890
01/09/2013,877
01/10/2013,702
01/11/2013,688
01/12/2013,729
01/01/2014,727
01/02/2014,728
01/03/2014,712
01/04/2014,692
01/05/2014,654
01/06/2014,690
01/07/2014,698
01/08/2014,739
01/09/2014,674
01/10/2014,774
01/11/2014,722
01/12/2014,653
01/01/2015,685
01/02/2015,632
01/03/2015,588
01/04/2015,588
01/05/2015,560
01/06/2015,631
01/07/2015,662
01/08/2015,656
01/09/2015,591
01/10/2015,567
01/11/2015,580
01/12/2015,582
01/01/2016,611
01/02/2016,519
01/03/2016,584
01/04/2016,512
01/05/2016,540
01/06/2016,584
01/07/2016,628
01/08/2016,625
01/09/2016,645
01/10/2016,593
01/11/2016,566
01/12/2016,521
01/01/2017,475
01/02/2017,584
01/03/2017,527
01/04/2017,468
01/05/2017,543
01/06/2017,537
01/07/2017,555
01/08/2017,612
01/09/2017,604
01/10/2017,567
01/11/2017,485
01/12/2017,556
01/01/2018,473
01/02/2018,463
01/03/2018,496
01/04/2018,423
01/05/2018,434
01/06/2018,488
01/07/2018,492
01/08/2018,462
01/09/2018,493
01/10/2018,488
01/11/2018,433
01/12/2018,417
01/01/2019,458
01/02/2019,429
01/03/2019,426
01/04/2019,408
01/05/2019,450
01/06/2019,508
01/07/2019,445
01/08/2019,450
01/09/2019,429
01/10/2019,425
01/11/2019,431
01/12/2019,428
01/01/2020,395
01/02/2020,436
