DATE,LNU03034498
01/12/2000,153
01/01/2001,166
01/02/2001,109
01/03/2001,148
01/04/2001,148
01/05/2001,164
01/06/2001,168
01/07/2001,210
01/08/2001,211
01/09/2001,222
01/10/2001,236
01/11/2001,244
01/12/2001,281
01/01/2002,272
01/02/2002,285
01/03/2002,270
01/04/2002,260
01/05/2002,262
01/06/2002,265
01/07/2002,266
01/08/2002,272
01/09/2002,231
01/10/2002,222
01/11/2002,223
01/12/2002,255
01/01/2003,251
01/02/2003,329
01/03/2003,275
01/04/2003,273
01/05/2003,264
01/06/2003,243
01/07/2003,224
01/08/2003,231
01/09/2003,253
01/10/2003,188
01/11/2003,271
01/12/2003,227
01/01/2004,240
01/02/2004,198
01/03/2004,216
01/04/2004,172
01/05/2004,190
01/06/2004,173
01/07/2004,185
01/08/2004,197
01/09/2004,178
01/10/2004,186
01/11/2004,189
01/12/2004,176
01/01/2005,175
01/02/2005,207
01/03/2005,177
01/04/2005,184
01/05/2005,149
01/06/2005,166
01/07/2005,145
01/08/2005,159
01/09/2005,177
01/10/2005,172
01/11/2005,175
01/12/2005,128
01/01/2006,105
01/02/2006,124
01/03/2006,118
01/04/2006,141
01/05/2006,158
01/06/2006,118
01/07/2006,109
01/08/2006,140
01/09/2006,180
01/10/2006,120
01/11/2006,144
01/12/2006,110
01/01/2007,150
01/02/2007,142
01/03/2007,109
01/04/2007,77
01/05/2007,110
01/06/2007,119
01/07/2007,127
01/08/2007,152
01/09/2007,127
01/10/2007,120
01/11/2007,133
01/12/2007,126
01/01/2008,172
01/02/2008,199
01/03/2008,159
01/04/2008,159
01/05/2008,190
01/06/2008,161
01/07/2008,143
01/08/2008,147
01/09/2008,172
01/10/2008,175
01/11/2008,180
01/12/2008,223
01/01/2009,241
01/02/2009,235
01/03/2009,256
01/04/2009,322
01/05/2009,306
01/06/2009,353
01/07/2009,398
01/08/2009,374
01/09/2009,379
01/10/2009,271
01/11/2009,251
01/12/2009,262
01/01/2010,319
01/02/2010,309
01/03/2010,322
01/04/2010,311
01/05/2010,327
01/06/2010,295
01/07/2010,347
01/08/2010,307
01/09/2010,339
01/10/2010,308
01/11/2010,280
01/12/2010,257
01/01/2011,242
01/02/2011,211
01/03/2011,242
01/04/2011,224
01/05/2011,239
01/06/2011,254
01/07/2011,239
01/08/2011,212
01/09/2011,224
01/10/2011,204
01/11/2011,232
01/12/2011,243
01/01/2012,229
01/02/2012,248
01/03/2012,239
01/04/2012,246
01/05/2012,242
01/06/2012,212
01/07/2012,209
01/08/2012,215
01/09/2012,210
01/10/2012,219
01/11/2012,192
01/12/2012,234
01/01/2013,240
01/02/2013,152
01/03/2013,149
01/04/2013,158
01/05/2013,196
01/06/2013,173
01/07/2013,181
01/08/2013,202
01/09/2013,207
01/10/2013,230
01/11/2013,184
01/12/2013,148
01/01/2014,211
01/02/2014,157
01/03/2014,166
01/04/2014,179
01/05/2014,174
01/06/2014,159
01/07/2014,128
01/08/2014,132
01/09/2014,136
01/10/2014,147
01/11/2014,170
01/12/2014,170
01/01/2015,138
01/02/2015,133
01/03/2015,88
01/04/2015,84
01/05/2015,90
01/06/2015,111
01/07/2015,118
01/08/2015,159
01/09/2015,131
01/10/2015,88
01/11/2015,111
01/12/2015,81
01/01/2016,138
01/02/2016,110
01/03/2016,135
01/04/2016,140
01/05/2016,134
01/06/2016,128
01/07/2016,153
01/08/2016,134
01/09/2016,142
01/10/2016,121
01/11/2016,119
01/12/2016,87
01/01/2017,138
01/02/2017,107
01/03/2017,108
01/04/2017,110
01/05/2017,131
01/06/2017,122
01/07/2017,122
01/08/2017,140
01/09/2017,143
01/10/2017,113
01/11/2017,146
01/12/2017,108
01/01/2018,146
01/02/2018,95
01/03/2018,114
01/04/2018,65
01/05/2018,100
01/06/2018,131
01/07/2018,119
01/08/2018,94
01/09/2018,65
01/10/2018,90
01/11/2018,100
01/12/2018,106
01/01/2019,125
01/02/2019,115
01/03/2019,109
01/04/2019,93
01/05/2019,81
01/06/2019,70
01/07/2019,113
01/08/2019,127
01/09/2019,110
01/10/2019,79
01/11/2019,41
01/12/2019,50
01/01/2020,65
01/02/2020,76
