DATE,LNU03034466
01/12/2000,378
01/01/2001,555
01/02/2001,514
01/03/2001,565
01/04/2001,515
01/05/2001,580
01/06/2001,614
01/07/2001,689
01/08/2001,655
01/09/2001,647
01/10/2001,720
01/11/2001,746
01/12/2001,787
01/01/2002,918
01/02/2002,885
01/03/2002,875
01/04/2002,871
01/05/2002,738
01/06/2002,783
01/07/2002,791
01/08/2002,725
01/09/2002,684
01/10/2002,672
01/11/2002,755
01/12/2002,811
01/01/2003,896
01/02/2003,791
01/03/2003,743
01/04/2003,799
01/05/2003,756
01/06/2003,800
01/07/2003,800
01/08/2003,755
01/09/2003,792
01/10/2003,689
01/11/2003,695
01/12/2003,650
01/01/2004,698
01/02/2004,706
01/03/2004,679
01/04/2004,599
01/05/2004,551
01/06/2004,542
01/07/2004,666
01/08/2004,546
01/09/2004,526
01/10/2004,526
01/11/2004,560
01/12/2004,529
01/01/2005,550
01/02/2005,535
01/03/2005,508
01/04/2005,450
01/05/2005,422
01/06/2005,461
01/07/2005,588
01/08/2005,462
01/09/2005,442
01/10/2005,484
01/11/2005,493
01/12/2005,463
01/01/2006,450
01/02/2006,477
01/03/2006,411
01/04/2006,414
01/05/2006,373
01/06/2006,383
01/07/2006,448
01/08/2006,425
01/09/2006,366
01/10/2006,363
01/11/2006,432
01/12/2006,402
01/01/2007,522
01/02/2007,497
01/03/2007,461
01/04/2007,470
01/05/2007,445
01/06/2007,409
01/07/2007,374
01/08/2007,341
01/09/2007,407
01/10/2007,435
01/11/2007,445
01/12/2007,464
01/01/2008,458
01/02/2008,490
01/03/2008,514
01/04/2008,510
01/05/2008,573
01/06/2008,550
01/07/2008,607
01/08/2008,635
01/09/2008,699
01/10/2008,621
01/11/2008,733
01/12/2008,845
01/01/2009,1166
01/02/2009,1225
01/03/2009,1314
01/04/2009,1288
01/05/2009,1335
01/06/2009,1390
01/07/2009,1384
01/08/2009,1306
01/09/2009,1286
01/10/2009,1271
01/11/2009,1230
01/12/2009,1251
01/01/2010,1331
01/02/2010,1282
01/03/2010,1310
01/04/2010,1115
01/05/2010,1049
01/06/2010,1030
01/07/2010,1050
01/08/2010,1002
01/09/2010,954
01/10/2010,955
01/11/2010,1001
01/12/2010,1012
01/01/2011,964
01/02/2011,997
01/03/2011,970
01/04/2011,977
01/05/2011,937
01/06/2011,974
01/07/2011,944
01/08/2011,879
01/09/2011,827
01/10/2011,764
01/11/2011,761
01/12/2011,794
01/01/2012,808
01/02/2012,803
01/03/2012,691
01/04/2012,624
01/05/2012,690
01/06/2012,662
01/07/2012,711
01/08/2012,706
01/09/2012,676
01/10/2012,677
01/11/2012,654
01/12/2012,712
01/01/2013,701
01/02/2013,705
01/03/2013,588
01/04/2013,590
01/05/2013,647
01/06/2013,573
01/07/2013,631
01/08/2013,544
01/09/2013,641
01/10/2013,616
01/11/2013,620
01/12/2013,577
01/01/2014,513
01/02/2014,462
01/03/2014,474
01/04/2014,447
01/05/2014,525
01/06/2014,422
01/07/2014,522
01/08/2014,518
01/09/2014,462
01/10/2014,432
01/11/2014,425
01/12/2014,377
01/01/2015,487
01/02/2015,459
01/03/2015,478
01/04/2015,381
01/05/2015,405
01/06/2015,355
01/07/2015,411
01/08/2015,429
01/09/2015,386
01/10/2015,409
01/11/2015,387
01/12/2015,366
01/01/2016,430
01/02/2016,454
01/03/2016,404
01/04/2016,412
01/05/2016,468
01/06/2016,380
01/07/2016,470
01/08/2016,421
01/09/2016,426
01/10/2016,447
01/11/2016,347
01/12/2016,366
01/01/2017,439
01/02/2017,453
01/03/2017,420
01/04/2017,389
01/05/2017,331
01/06/2017,339
01/07/2017,403
01/08/2017,375
01/09/2017,369
01/10/2017,315
01/11/2017,242
01/12/2017,292
01/01/2018,318
01/02/2018,339
01/03/2018,304
01/04/2018,308
01/05/2018,343
01/06/2018,271
01/07/2018,343
01/08/2018,254
01/09/2018,305
01/10/2018,260
01/11/2018,279
01/12/2018,232
01/01/2019,336
01/02/2019,273
01/03/2019,256
01/04/2019,268
01/05/2019,215
01/06/2019,298
01/07/2019,299
01/08/2019,283
01/09/2019,272
01/10/2019,294
01/11/2019,301
01/12/2019,258
01/01/2020,323
01/02/2020,367
