DATE,LNU03034474
01/12/2000,279
01/01/2001,362
01/02/2001,390
01/03/2001,390
01/04/2001,350
01/05/2001,325
01/06/2001,346
01/07/2001,370
01/08/2001,372
01/09/2001,351
01/10/2001,346
01/11/2001,362
01/12/2001,389
01/01/2002,459
01/02/2002,414
01/03/2002,498
01/04/2002,463
01/05/2002,464
01/06/2002,405
01/07/2002,398
01/08/2002,386
01/09/2002,396
01/10/2002,381
01/11/2002,362
01/12/2002,379
01/01/2003,409
01/02/2003,440
01/03/2003,479
01/04/2003,403
01/05/2003,395
01/06/2003,432
01/07/2003,394
01/08/2003,438
01/09/2003,386
01/10/2003,358
01/11/2003,343
01/12/2003,378
01/01/2004,414
01/02/2004,388
01/03/2004,410
01/04/2004,406
01/05/2004,416
01/06/2004,415
01/07/2004,364
01/08/2004,302
01/09/2004,339
01/10/2004,362
01/11/2004,348
01/12/2004,346
01/01/2005,341
01/02/2005,357
01/03/2005,377
01/04/2005,343
01/05/2005,325
01/06/2005,288
01/07/2005,303
01/08/2005,309
01/09/2005,337
01/10/2005,319
01/11/2005,330
01/12/2005,296
01/01/2006,328
01/02/2006,344
01/03/2006,294
01/04/2006,331
01/05/2006,308
01/06/2006,254
01/07/2006,292
01/08/2006,255
01/09/2006,270
01/10/2006,255
01/11/2006,277
01/12/2006,269
01/01/2007,232
01/02/2007,283
01/03/2007,287
01/04/2007,282
01/05/2007,209
01/06/2007,250
01/07/2007,251
01/08/2007,257
01/09/2007,266
01/10/2007,298
01/11/2007,322
01/12/2007,313
01/01/2008,383
01/02/2008,339
01/03/2008,324
01/04/2008,298
01/05/2008,320
01/06/2008,327
01/07/2008,308
01/08/2008,329
01/09/2008,296
01/10/2008,396
01/11/2008,415
01/12/2008,477
01/01/2009,554
01/02/2009,609
01/03/2009,609
01/04/2009,698
01/05/2009,695
01/06/2009,641
01/07/2009,617
01/08/2009,575
01/09/2009,604
01/10/2009,631
01/11/2009,670
01/12/2009,509
01/01/2010,607
01/02/2010,542
01/03/2010,617
01/04/2010,591
01/05/2010,562
01/06/2010,523
01/07/2010,531
01/08/2010,479
01/09/2010,537
01/10/2010,543
01/11/2010,535
01/12/2010,551
01/01/2011,568
01/02/2011,507
01/03/2011,527
01/04/2011,504
01/05/2011,545
01/06/2011,462
01/07/2011,487
01/08/2011,492
01/09/2011,495
01/10/2011,447
01/11/2011,430
01/12/2011,434
01/01/2012,489
01/02/2012,506
01/03/2012,480
01/04/2012,436
01/05/2012,424
01/06/2012,402
01/07/2012,434
01/08/2012,437
01/09/2012,369
01/10/2012,430
01/11/2012,341
01/12/2012,442
01/01/2013,523
01/02/2013,418
01/03/2013,389
01/04/2013,380
01/05/2013,420
01/06/2013,430
01/07/2013,469
01/08/2013,429
01/09/2013,468
01/10/2013,350
01/11/2013,381
01/12/2013,283
01/01/2014,364
01/02/2014,389
01/03/2014,362
01/04/2014,349
01/05/2014,310
01/06/2014,299
01/07/2014,315
01/08/2014,284
01/09/2014,253
01/10/2014,235
01/11/2014,224
01/12/2014,229
01/01/2015,335
01/02/2015,357
01/03/2015,265
01/04/2015,228
01/05/2015,305
01/06/2015,262
01/07/2015,294
01/08/2015,215
01/09/2015,266
01/10/2015,225
01/11/2015,238
01/12/2015,253
01/01/2016,251
01/02/2016,275
01/03/2016,271
01/04/2016,303
01/05/2016,279
01/06/2016,198
01/07/2016,218
01/08/2016,244
01/09/2016,265
01/10/2016,264
01/11/2016,285
01/12/2016,272
01/01/2017,211
01/02/2017,181
01/03/2017,197
01/04/2017,230
01/05/2017,180
01/06/2017,193
01/07/2017,240
01/08/2017,225
01/09/2017,229
01/10/2017,188
01/11/2017,173
01/12/2017,217
01/01/2018,217
01/02/2018,223
01/03/2018,222
01/04/2018,219
01/05/2018,206
01/06/2018,227
01/07/2018,257
01/08/2018,244
01/09/2018,247
01/10/2018,256
01/11/2018,195
01/12/2018,210
01/01/2019,199
01/02/2019,194
01/03/2019,221
01/04/2019,218
01/05/2019,155
01/06/2019,165
01/07/2019,180
01/08/2019,235
01/09/2019,271
01/10/2019,202
01/11/2019,141
01/12/2019,180
01/01/2020,214
01/02/2020,254
