DATE,LNU03034442
01/12/2000,20
01/01/2001,11
01/02/2001,27
01/03/2001,14
01/04/2001,24
01/05/2001,34
01/06/2001,26
01/07/2001,17
01/08/2001,18
01/09/2001,23
01/10/2001,32
01/11/2001,20
01/12/2001,27
01/01/2002,33
01/02/2002,35
01/03/2002,28
01/04/2002,33
01/05/2002,26
01/06/2002,35
01/07/2002,19
01/08/2002,32
01/09/2002,42
01/10/2002,36
01/11/2002,32
01/12/2002,45
01/01/2003,54
01/02/2003,41
01/03/2003,46
01/04/2003,41
01/05/2003,40
01/06/2003,36
01/07/2003,43
01/08/2003,20
01/09/2003,25
01/10/2003,31
01/11/2003,34
01/12/2003,32
01/01/2004,31
01/02/2004,24
01/03/2004,22
01/04/2004,34
01/05/2004,22
01/06/2004,27
01/07/2004,28
01/08/2004,10
01/09/2004,8
01/10/2004,15
01/11/2004,20
01/12/2004,16
01/01/2005,29
01/02/2005,25
01/03/2005,32
01/04/2005,19
01/05/2005,16
01/06/2005,25
01/07/2005,22
01/08/2005,12
01/09/2005,12
01/10/2005,2
01/11/2005,18
01/12/2005,23
01/01/2006,26
01/02/2006,25
01/03/2006,14
01/04/2006,17
01/05/2006,20
01/06/2006,31
01/07/2006,25
01/08/2006,32
01/09/2006,14
01/10/2006,15
01/11/2006,22
01/12/2006,25
01/01/2007,35
01/02/2007,33
01/03/2007,24
01/04/2007,17
01/05/2007,22
01/06/2007,33
01/07/2007,33
01/08/2007,33
01/09/2007,25
01/10/2007,9
01/11/2007,16
01/12/2007,24
01/01/2008,28
01/02/2008,16
01/03/2008,28
01/04/2008,28
01/05/2008,28
01/06/2008,28
01/07/2008,13
01/08/2008,19
01/09/2008,25
01/10/2008,15
01/11/2008,32
01/12/2008,46
01/01/2009,59
01/02/2009,63
01/03/2009,105
01/04/2009,125
01/05/2009,98
01/06/2009,100
01/07/2009,99
01/08/2009,97
01/09/2009,81
01/10/2009,85
01/11/2009,96
01/12/2009,89
01/01/2010,68
01/02/2010,79
01/03/2010,73
01/04/2010,69
01/05/2010,46
01/06/2010,64
01/07/2010,79
01/08/2010,93
01/09/2010,66
01/10/2010,89
01/11/2010,68
01/12/2010,85
01/01/2011,66
01/02/2011,41
01/03/2011,46
01/04/2011,28
01/05/2011,32
01/06/2011,47
01/07/2011,53
01/08/2011,53
01/09/2011,55
01/10/2011,69
01/11/2011,76
01/12/2011,59
01/01/2012,78
01/02/2012,66
01/03/2012,62
01/04/2012,43
01/05/2012,47
01/06/2012,52
01/07/2012,83
01/08/2012,65
01/09/2012,48
01/10/2012,64
01/11/2012,56
01/12/2012,58
01/01/2013,97
01/02/2013,58
01/03/2013,72
01/04/2013,73
01/05/2013,66
01/06/2013,70
01/07/2013,57
01/08/2013,65
01/09/2013,59
01/10/2013,73
01/11/2013,65
01/12/2013,38
01/01/2014,72
01/02/2014,104
01/03/2014,62
01/04/2014,39
01/05/2014,26
01/06/2014,26
01/07/2014,39
01/08/2014,78
01/09/2014,74
01/10/2014,53
01/11/2014,32
01/12/2014,45
01/01/2015,67
01/02/2015,94
01/03/2015,85
01/04/2015,87
01/05/2015,76
01/06/2015,92
01/07/2015,83
01/08/2015,77
01/09/2015,99
01/10/2015,89
01/11/2015,80
01/12/2015,109
01/01/2016,79
01/02/2016,85
01/03/2016,87
01/04/2016,86
01/05/2016,96
01/06/2016,100
01/07/2016,77
01/08/2016,42
01/09/2016,43
01/10/2016,46
01/11/2016,37
01/12/2016,28
01/01/2017,52
01/02/2017,34
01/03/2017,30
01/04/2017,36
01/05/2017,21
01/06/2017,25
01/07/2017,32
01/08/2017,32
01/09/2017,24
01/10/2017,39
01/11/2017,20
01/12/2017,41
01/01/2018,29
01/02/2018,52
01/03/2018,55
01/04/2018,39
01/05/2018,23
01/06/2018,23
01/07/2018,29
01/08/2018,15
01/09/2018,13
01/10/2018,14
01/11/2018,16
01/12/2018,21
01/01/2019,44
01/02/2019,26
01/03/2019,26
01/04/2019,17
01/05/2019,35
01/06/2019,24
01/07/2019,18
01/08/2019,8
01/09/2019,13
01/10/2019,28
01/11/2019,28
01/12/2019,35
01/01/2020,21
01/02/2020,42
