DATE,LNU03034538
01/12/2000,167
01/01/2001,200
01/02/2001,245
01/03/2001,201
01/04/2001,220
01/05/2001,172
01/06/2001,246
01/07/2001,228
01/08/2001,245
01/09/2001,229
01/10/2001,243
01/11/2001,259
01/12/2001,277
01/01/2002,308
01/02/2002,339
01/03/2002,314
01/04/2002,268
01/05/2002,264
01/06/2002,335
01/07/2002,357
01/08/2002,355
01/09/2002,282
01/10/2002,273
01/11/2002,284
01/12/2002,244
01/01/2003,304
01/02/2003,332
01/03/2003,372
01/04/2003,333
01/05/2003,339
01/06/2003,362
01/07/2003,405
01/08/2003,373
01/09/2003,338
01/10/2003,381
01/11/2003,358
01/12/2003,282
01/01/2004,328
01/02/2004,369
01/03/2004,369
01/04/2004,350
01/05/2004,310
01/06/2004,327
01/07/2004,349
01/08/2004,341
01/09/2004,301
01/10/2004,300
01/11/2004,294
01/12/2004,276
01/01/2005,291
01/02/2005,330
01/03/2005,312
01/04/2005,317
01/05/2005,314
01/06/2005,296
01/07/2005,274
01/08/2005,306
01/09/2005,308
01/10/2005,320
01/11/2005,300
01/12/2005,271
01/01/2006,308
01/02/2006,281
01/03/2006,296
01/04/2006,268
01/05/2006,265
01/06/2006,265
01/07/2006,305
01/08/2006,341
01/09/2006,311
01/10/2006,269
01/11/2006,309
01/12/2006,309
01/01/2007,281
01/02/2007,262
01/03/2007,226
01/04/2007,224
01/05/2007,242
01/06/2007,260
01/07/2007,254
01/08/2007,255
01/09/2007,257
01/10/2007,182
01/11/2007,258
01/12/2007,240
01/01/2008,266
01/02/2008,313
01/03/2008,284
01/04/2008,251
01/05/2008,279
01/06/2008,322
01/07/2008,352
01/08/2008,420
01/09/2008,385
01/10/2008,339
01/11/2008,434
01/12/2008,370
01/01/2009,431
01/02/2009,453
01/03/2009,377
01/04/2009,403
01/05/2009,476
01/06/2009,566
01/07/2009,497
01/08/2009,538
01/09/2009,468
01/10/2009,548
01/11/2009,491
01/12/2009,515
01/01/2010,624
01/02/2010,620
01/03/2010,528
01/04/2010,519
01/05/2010,498
01/06/2010,536
01/07/2010,473
01/08/2010,543
01/09/2010,535
01/10/2010,557
01/11/2010,549
01/12/2010,496
01/01/2011,522
01/02/2011,546
01/03/2011,501
01/04/2011,572
01/05/2011,540
01/06/2011,562
01/07/2011,569
01/08/2011,599
01/09/2011,622
01/10/2011,631
01/11/2011,538
01/12/2011,507
01/01/2012,604
01/02/2012,466
01/03/2012,454
01/04/2012,488
01/05/2012,506
01/06/2012,492
01/07/2012,433
01/08/2012,448
01/09/2012,475
01/10/2012,462
01/11/2012,388
01/12/2012,480
01/01/2013,524
01/02/2013,502
01/03/2013,443
01/04/2013,424
01/05/2013,433
01/06/2013,411
01/07/2013,399
01/08/2013,444
01/09/2013,419
01/10/2013,513
01/11/2013,448
01/12/2013,426
01/01/2014,467
01/02/2014,365
01/03/2014,386
01/04/2014,304
01/05/2014,380
01/06/2014,388
01/07/2014,435
01/08/2014,382
01/09/2014,343
01/10/2014,348
01/11/2014,308
01/12/2014,346
01/01/2015,394
01/02/2015,445
01/03/2015,347
01/04/2015,354
01/05/2015,352
01/06/2015,284
01/07/2015,327
01/08/2015,328
01/09/2015,353
01/10/2015,278
01/11/2015,348
01/12/2015,293
01/01/2016,336
01/02/2016,307
01/03/2016,277
01/04/2016,295
01/05/2016,309
01/06/2016,376
01/07/2016,309
01/08/2016,296
01/09/2016,252
01/10/2016,263
01/11/2016,249
01/12/2016,276
01/01/2017,264
01/02/2017,312
01/03/2017,260
01/04/2017,240
01/05/2017,250
01/06/2017,269
01/07/2017,270
01/08/2017,288
01/09/2017,285
01/10/2017,219
01/11/2017,220
01/12/2017,190
01/01/2018,293
01/02/2018,234
01/03/2018,243
01/04/2018,214
01/05/2018,172
01/06/2018,286
01/07/2018,242
01/08/2018,222
01/09/2018,221
01/10/2018,201
01/11/2018,233
01/12/2018,214
01/01/2019,259
01/02/2019,215
01/03/2019,227
01/04/2019,170
01/05/2019,194
01/06/2019,200
01/07/2019,233
01/08/2019,262
01/09/2019,219
01/10/2019,197
01/11/2019,216
01/12/2019,229
01/01/2020,253
01/02/2020,187
