DATE,LNU03032243
01/12/2000,364
01/01/2001,455
01/02/2001,291
01/03/2001,346
01/04/2001,362
01/05/2001,351
01/06/2001,520
01/07/2001,548
01/08/2001,540
01/09/2001,430
01/10/2001,427
01/11/2001,417
01/12/2001,406
01/01/2002,475
01/02/2002,493
01/03/2002,469
01/04/2002,444
01/05/2002,482
01/06/2002,557
01/07/2002,639
01/08/2002,594
01/09/2002,525
01/10/2002,498
01/11/2002,460
01/12/2002,443
01/01/2003,561
01/02/2003,478
01/03/2003,520
01/04/2003,436
01/05/2003,476
01/06/2003,702
01/07/2003,742
01/08/2003,741
01/09/2003,543
01/10/2003,499
01/11/2003,542
01/12/2003,501
01/01/2004,496
01/02/2004,481
01/03/2004,517
01/04/2004,426
01/05/2004,467
01/06/2004,579
01/07/2004,733
01/08/2004,674
01/09/2004,564
01/10/2004,557
01/11/2004,507
01/12/2004,488
01/01/2005,541
01/02/2005,455
01/03/2005,460
01/04/2005,475
01/05/2005,453
01/06/2005,679
01/07/2005,681
01/08/2005,664
01/09/2005,567
01/10/2005,496
01/11/2005,490
01/12/2005,392
01/01/2006,447
01/02/2006,466
01/03/2006,456
01/04/2006,413
01/05/2006,426
01/06/2006,577
01/07/2006,656
01/08/2006,595
01/09/2006,396
01/10/2006,420
01/11/2006,399
01/12/2006,389
01/01/2007,469
01/02/2007,396
01/03/2007,417
01/04/2007,402
01/05/2007,424
01/06/2007,572
01/07/2007,704
01/08/2007,695
01/09/2007,525
01/10/2007,489
01/11/2007,477
01/12/2007,445
01/01/2008,464
01/02/2008,369
01/03/2008,421
01/04/2008,373
01/05/2008,460
01/06/2008,646
01/07/2008,763
01/08/2008,720
01/09/2008,571
01/10/2008,550
01/11/2008,525
01/12/2008,508
01/01/2009,643
01/02/2009,551
01/03/2009,588
01/04/2009,569
01/05/2009,697
01/06/2009,988
01/07/2009,1126
01/08/2009,1114
01/09/2009,920
01/10/2009,782
01/11/2009,744
01/12/2009,783
01/01/2010,933
01/02/2010,870
01/03/2010,867
01/04/2010,767
01/05/2010,764
01/06/2010,961
01/07/2010,1180
01/08/2010,1289
01/09/2010,1081
01/10/2010,947
01/11/2010,942
01/12/2010,945
01/01/2011,1084
01/02/2011,919
01/03/2011,883
01/04/2011,777
01/05/2011,836
01/06/2011,1231
01/07/2011,1349
01/08/2011,1271
01/09/2011,1009
01/10/2011,916
01/11/2011,956
01/12/2011,876
01/01/2012,885
01/02/2012,836
01/03/2012,782
01/04/2012,776
01/05/2012,893
01/06/2012,1077
01/07/2012,1182
01/08/2012,1057
01/09/2012,941
01/10/2012,896
01/11/2012,815
01/12/2012,859
01/01/2013,897
01/02/2013,815
01/03/2013,778
01/04/2013,709
01/05/2013,803
01/06/2013,1082
01/07/2013,1070
01/08/2013,961
01/09/2013,818
01/10/2013,913
01/11/2013,660
01/12/2013,621
01/01/2014,720
01/02/2014,680
01/03/2014,676
01/04/2014,572
01/05/2014,609
01/06/2014,739
01/07/2014,928
01/08/2014,793
01/09/2014,603
01/10/2014,561
01/11/2014,609
01/12/2014,554
01/01/2015,590
01/02/2015,504
01/03/2015,499
01/04/2015,514
01/05/2015,484
01/06/2015,686
01/07/2015,869
01/08/2015,778
01/09/2015,477
01/10/2015,505
01/11/2015,466
01/12/2015,445
01/01/2016,501
01/02/2016,577
01/03/2016,634
01/04/2016,483
01/05/2016,450
01/06/2016,736
01/07/2016,904
01/08/2016,778
01/09/2016,535
01/10/2016,464
01/11/2016,442
01/12/2016,390
01/01/2017,474
01/02/2017,462
01/03/2017,390
01/04/2017,374
01/05/2017,466
01/06/2017,701
01/07/2017,867
01/08/2017,763
01/09/2017,422
01/10/2017,456
01/11/2017,429
01/12/2017,458
01/01/2018,472
01/02/2018,396
01/03/2018,514
01/04/2018,428
01/05/2018,413
01/06/2018,680
01/07/2018,744
01/08/2018,584
01/09/2018,412
01/10/2018,409
01/11/2018,424
01/12/2018,515
01/01/2019,561
01/02/2019,388
01/03/2019,404
01/04/2019,343
01/05/2019,445
01/06/2019,707
01/07/2019,813
01/08/2019,656
01/09/2019,382
01/10/2019,406
01/11/2019,407
01/12/2019,391
01/01/2020,462
01/02/2020,339
