DATE,LNU03034154
01/12/2000,142
01/01/2001,162
01/02/2001,170
01/03/2001,200
01/04/2001,129
01/05/2001,143
01/06/2001,151
01/07/2001,125
01/08/2001,163
01/09/2001,187
01/10/2001,151
01/11/2001,192
01/12/2001,229
01/01/2002,195
01/02/2002,196
01/03/2002,195
01/04/2002,216
01/05/2002,190
01/06/2002,189
01/07/2002,199
01/08/2002,217
01/09/2002,211
01/10/2002,209
01/11/2002,225
01/12/2002,212
01/01/2003,251
01/02/2003,206
01/03/2003,218
01/04/2003,218
01/05/2003,220
01/06/2003,272
01/07/2003,228
01/08/2003,217
01/09/2003,221
01/10/2003,212
01/11/2003,237
01/12/2003,215
01/01/2004,192
01/02/2004,248
01/03/2004,282
01/04/2004,216
01/05/2004,238
01/06/2004,168
01/07/2004,161
01/08/2004,183
01/09/2004,237
01/10/2004,206
01/11/2004,182
01/12/2004,213
01/01/2005,183
01/02/2005,230
01/03/2005,194
01/04/2005,188
01/05/2005,170
01/06/2005,192
01/07/2005,195
01/08/2005,182
01/09/2005,152
01/10/2005,178
01/11/2005,141
01/12/2005,184
01/01/2006,169
01/02/2006,155
01/03/2006,135
01/04/2006,137
01/05/2006,140
01/06/2006,142
01/07/2006,150
01/08/2006,138
01/09/2006,140
01/10/2006,119
01/11/2006,133
01/12/2006,181
01/01/2007,179
01/02/2007,134
01/03/2007,153
01/04/2007,116
01/05/2007,119
01/06/2007,123
01/07/2007,136
01/08/2007,152
01/09/2007,167
01/10/2007,137
01/11/2007,140
01/12/2007,135
01/01/2008,128
01/02/2008,118
01/03/2008,113
01/04/2008,137
01/05/2008,165
01/06/2008,160
01/07/2008,183
01/08/2008,196
01/09/2008,215
01/10/2008,237
01/11/2008,248
01/12/2008,253
01/01/2009,281
01/02/2009,300
01/03/2009,246
01/04/2009,243
01/05/2009,266
01/06/2009,271
01/07/2009,317
01/08/2009,277
01/09/2009,290
01/10/2009,278
01/11/2009,291
01/12/2009,307
01/01/2010,339
01/02/2010,294
01/03/2010,303
01/04/2010,299
01/05/2010,289
01/06/2010,269
01/07/2010,278
01/08/2010,272
01/09/2010,265
01/10/2010,277
01/11/2010,304
01/12/2010,256
01/01/2011,267
01/02/2011,333
01/03/2011,333
01/04/2011,272
01/05/2011,233
01/06/2011,259
01/07/2011,251
01/08/2011,281
01/09/2011,234
01/10/2011,251
01/11/2011,254
01/12/2011,242
01/01/2012,273
01/02/2012,268
01/03/2012,249
01/04/2012,223
01/05/2012,212
01/06/2012,228
01/07/2012,212
01/08/2012,222
01/09/2012,214
01/10/2012,209
01/11/2012,202
01/12/2012,183
01/01/2013,212
01/02/2013,227
01/03/2013,203
01/04/2013,231
01/05/2013,244
01/06/2013,207
01/07/2013,194
01/08/2013,180
01/09/2013,219
01/10/2013,150
01/11/2013,177
01/12/2013,143
01/01/2014,162
01/02/2014,175
01/03/2014,169
01/04/2014,183
01/05/2014,170
01/06/2014,177
01/07/2014,164
01/08/2014,165
01/09/2014,159
01/10/2014,148
01/11/2014,101
01/12/2014,159
01/01/2015,152
01/02/2015,150
01/03/2015,160
01/04/2015,135
01/05/2015,123
01/06/2015,139
01/07/2015,142
01/08/2015,129
01/09/2015,156
01/10/2015,113
01/11/2015,110
01/12/2015,127
01/01/2016,171
01/02/2016,121
01/03/2016,145
01/04/2016,141
01/05/2016,110
01/06/2016,117
01/07/2016,140
01/08/2016,126
01/09/2016,114
01/10/2016,124
01/11/2016,107
01/12/2016,135
01/01/2017,155
01/02/2017,146
01/03/2017,113
01/04/2017,95
01/05/2017,113
01/06/2017,112
01/07/2017,123
01/08/2017,93
01/09/2017,111
01/10/2017,99
01/11/2017,101
01/12/2017,127
01/01/2018,136
01/02/2018,137
01/03/2018,132
01/04/2018,112
01/05/2018,137
01/06/2018,102
01/07/2018,97
01/08/2018,143
01/09/2018,85
01/10/2018,116
01/11/2018,84
01/12/2018,70
01/01/2019,87
01/02/2019,84
01/03/2019,101
01/04/2019,81
01/05/2019,103
01/06/2019,101
01/07/2019,87
01/08/2019,116
01/09/2019,88
01/10/2019,108
01/11/2019,117
01/12/2019,87
01/01/2020,113
01/02/2020,101
