DATE,CE16OV
01/12/2000,137614
01/01/2001,137778
01/02/2001,137612
01/03/2001,137783
01/04/2001,137299
01/05/2001,137092
01/06/2001,136873
01/07/2001,137071
01/08/2001,136241
01/09/2001,136846
01/10/2001,136392
01/11/2001,136238
01/12/2001,136047
01/01/2002,135701
01/02/2002,136438
01/03/2002,136177
01/04/2002,136126
01/05/2002,136539
01/06/2002,136415
01/07/2002,136413
01/08/2002,136705
01/09/2002,137302
01/10/2002,137008
01/11/2002,136521
01/12/2002,136426
01/01/2003,137417
01/02/2003,137482
01/03/2003,137434
01/04/2003,137633
01/05/2003,137544
01/06/2003,137790
01/07/2003,137474
01/08/2003,137549
01/09/2003,137609
01/10/2003,137984
01/11/2003,138424
01/12/2003,138411
01/01/2004,138472
01/02/2004,138542
01/03/2004,138453
01/04/2004,138680
01/05/2004,138852
01/06/2004,139174
01/07/2004,139556
01/08/2004,139573
01/09/2004,139487
01/10/2004,139732
01/11/2004,140231
01/12/2004,140125
01/01/2005,140245
01/02/2005,140385
01/03/2005,140654
01/04/2005,141254
01/05/2005,141609
01/06/2005,141714
01/07/2005,142026
01/08/2005,142434
01/09/2005,142401
01/10/2005,142548
01/11/2005,142499
01/12/2005,142752
01/01/2006,143150
01/02/2006,143457
01/03/2006,143741
01/04/2006,143761
01/05/2006,144089
01/06/2006,144353
01/07/2006,144202
01/08/2006,144625
01/09/2006,144815
01/10/2006,145314
01/11/2006,145534
01/12/2006,145970
01/01/2007,146028
01/02/2007,146057
01/03/2007,146320
01/04/2007,145586
01/05/2007,145903
01/06/2007,146063
01/07/2007,145905
01/08/2007,145682
01/09/2007,146244
01/10/2007,145946
01/11/2007,146595
01/12/2007,146273
01/01/2008,146378
01/02/2008,146156
01/03/2008,146086
01/04/2008,146132
01/05/2008,145908
01/06/2008,145737
01/07/2008,145532
01/08/2008,145203
01/09/2008,145076
01/10/2008,144802
01/11/2008,144100
01/12/2008,143369
01/01/2009,142152
01/02/2009,141640
01/03/2009,140707
01/04/2009,140656
01/05/2009,140248
01/06/2009,140009
01/07/2009,139901
01/08/2009,139492
01/09/2009,138818
01/10/2009,138432
01/11/2009,138659
01/12/2009,138013
01/01/2010,138438
01/02/2010,138581
01/03/2010,138751
01/04/2010,139297
01/05/2010,139241
01/06/2010,139141
01/07/2010,139179
01/08/2010,139438
01/09/2010,139396
01/10/2010,139119
01/11/2010,139044
01/12/2010,139301
01/01/2011,139250
01/02/2011,139394
01/03/2011,139639
01/04/2011,139586
01/05/2011,139624
01/06/2011,139384
01/07/2011,139524
01/08/2011,139942
01/09/2011,140183
01/10/2011,140368
01/11/2011,140826
01/12/2011,140902
01/01/2012,141584
01/02/2012,141858
01/03/2012,142036
01/04/2012,141899
01/05/2012,142206
01/06/2012,142391
01/07/2012,142292
01/08/2012,142291
01/09/2012,143044
01/10/2012,143431
01/11/2012,143333
01/12/2012,143330
01/01/2013,143292
01/02/2013,143362
01/03/2013,143316
01/04/2013,143635
01/05/2013,143882
01/06/2013,143999
01/07/2013,144264
01/08/2013,144326
01/09/2013,144418
01/10/2013,143537
01/11/2013,144479
01/12/2013,144778
01/01/2014,145150
01/02/2014,145134
01/03/2014,145648
01/04/2014,145667
01/05/2014,145825
01/06/2014,146247
01/07/2014,146399
01/08/2014,146530
01/09/2014,146778
01/10/2014,147427
01/11/2014,147404
01/12/2014,147615
01/01/2015,148145
01/02/2015,148045
01/03/2015,148128
01/04/2015,148511
01/05/2015,148817
01/06/2015,148816
01/07/2015,148830
01/08/2015,149181
01/09/2015,148826
01/10/2015,149246
01/11/2015,149463
01/12/2015,150128
01/01/2016,150653
01/02/2016,150939
01/03/2016,151218
01/04/2016,151074
01/05/2016,151132
01/06/2016,151223
01/07/2016,151554
01/08/2016,151779
01/09/2016,151761
01/10/2016,151793
01/11/2016,151954
01/12/2016,152157
01/01/2017,152150
01/02/2017,152414
01/03/2017,153050
01/04/2017,153274
01/05/2017,153017
01/06/2017,153356
01/07/2017,153612
01/08/2017,153592
01/09/2017,154266
01/10/2017,153633
01/11/2017,153749
01/12/2017,153911
01/01/2018,154495
01/02/2018,155174
01/03/2018,155266
01/04/2018,155363
01/05/2018,155688
01/06/2018,155768
01/07/2018,156186
01/08/2018,155567
01/09/2018,155948
01/10/2018,156306
01/11/2018,156598
01/12/2018,156745
01/01/2019,156625
01/02/2019,156904
01/03/2019,156809
01/04/2019,156741
01/05/2019,156883
01/06/2019,157131
01/07/2019,157617
01/08/2019,157861
01/09/2019,158230
01/10/2019,158356
01/11/2019,158540
01/12/2019,158735
01/01/2020,158659
01/02/2020,158732
