DATE,JTS7100HIL
2000-12-01,130
2001-01-01,127
2001-02-01,128
2001-03-01,135
2001-04-01,151
2001-05-01,153
2001-06-01,158
2001-07-01,166
2001-08-01,156
2001-09-01,138
2001-10-01,144
2001-11-01,118
2001-12-01,126
2002-01-01,116
2002-02-01,133
2002-03-01,140
2002-04-01,128
2002-05-01,130
2002-06-01,126
2002-07-01,98
2002-08-01,135
2002-09-01,138
2002-10-01,110
2002-11-01,141
2002-12-01,154
2003-01-01,157
2003-02-01,135
2003-03-01,135
2003-04-01,148
2003-05-01,165
2003-06-01,136
2003-07-01,132
2003-08-01,136
2003-09-01,136
2003-10-01,134
2003-11-01,135
2003-12-01,137
2004-01-01,135
2004-02-01,136
2004-03-01,143
2004-04-01,137
2004-05-01,153
2004-06-01,145
2004-07-01,152
2004-08-01,141
2004-09-01,172
2004-10-01,139
2004-11-01,120
2004-12-01,123
2005-01-01,152
2005-02-01,153
2005-03-01,145
2005-04-01,146
2005-05-01,131
2005-06-01,163
2005-07-01,146
2005-08-01,148
2005-09-01,139
2005-10-01,136
2005-11-01,141
2005-12-01,135
2006-01-01,110
2006-02-01,125
2006-03-01,134
2006-04-01,155
2006-05-01,139
2006-06-01,135
2006-07-01,155
2006-08-01,130
2006-09-01,107
2006-10-01,145
2006-11-01,142
2006-12-01,141
2007-01-01,152
2007-02-01,147
2007-03-01,140
2007-04-01,128
2007-05-01,133
2007-06-01,140
2007-07-01,128
2007-08-01,137
2007-09-01,142
2007-10-01,145
2007-11-01,157
2007-12-01,138
2008-01-01,139
2008-02-01,161
2008-03-01,137
2008-04-01,120
2008-05-01,139
2008-06-01,120
2008-07-01,112
2008-08-01,158
2008-09-01,112
2008-10-01,123
2008-11-01,95
2008-12-01,125
2009-01-01,117
2009-02-01,101
2009-03-01,73
2009-04-01,86
2009-05-01,91
2009-06-01,93
2009-07-01,101
2009-08-01,120
2009-09-01,112
2009-10-01,102
2009-11-01,116
2009-12-01,96
2010-01-01,99
2010-02-01,81
2010-03-01,106
2010-04-01,128
2010-05-01,114
2010-06-01,129
2010-07-01,131
2010-08-01,117
2010-09-01,110
2010-10-01,101
2010-11-01,97
2010-12-01,104
2011-01-01,98
2011-02-01,99
2011-03-01,131
2011-04-01,116
2011-05-01,118
2011-06-01,122
2011-07-01,123
2011-08-01,125
2011-09-01,138
2011-10-01,135
2011-11-01,157
2011-12-01,137
2012-01-01,156
2012-02-01,159
2012-03-01,157
2012-04-01,141
2012-05-01,131
2012-06-01,123
2012-07-01,126
2012-08-01,134
2012-09-01,106
2012-10-01,126
2012-11-01,122
2012-12-01,159
2013-01-01,127
2013-02-01,125
2013-03-01,126
2013-04-01,130
2013-05-01,136
2013-06-01,144
2013-07-01,130
2013-08-01,123
2013-09-01,140
2013-10-01,136
2013-11-01,137
2013-12-01,148
2014-01-01,142
2014-02-01,142
2014-03-01,120
2014-04-01,153
2014-05-01,163
2014-06-01,145
2014-07-01,150
2014-08-01,144
2014-09-01,153
2014-10-01,153
2014-11-01,153
2014-12-01,155
2015-01-01,166
2015-02-01,163
2015-03-01,155
2015-04-01,155
2015-05-01,173
2015-06-01,136
2015-07-01,129
2015-08-01,145
2015-09-01,156
2015-10-01,157
2015-11-01,157
2015-12-01,164
2016-01-01,161
2016-02-01,154
2016-03-01,166
2016-04-01,137
2016-05-01,159
2016-06-01,173
2016-07-01,169
2016-08-01,174
2016-09-01,134
2016-10-01,161
2016-11-01,160
2016-12-01,162
2017-01-01,155
2017-02-01,167
2017-03-01,127
2017-04-01,189
2017-05-01,163
2017-06-01,184
2017-07-01,201
2017-08-01,170
2017-09-01,165
2017-10-01,185
2017-11-01,169
2017-12-01,145
2018-01-01,168
2018-02-01,184
2018-03-01,194
2018-04-01,190
2018-05-01,194
2018-06-01,194
2018-07-01,193
2018-08-01,185
2018-09-01,170
2018-10-01,182
2018-11-01,167
2018-12-01,148
2019-01-01,175
2019-02-01,176
2019-03-01,165
2019-04-01,164
2019-05-01,164
2019-06-01,141
2019-07-01,160
2019-08-01,169
2019-09-01,175
2019-10-01,169
2019-11-01,187
2019-12-01,190
2020-01-01,179
2020-02-01,169
