DATE,JTS520000000000000HIL
01/12/2000,174
01/01/2001,207
01/02/2001,170
01/03/2001,171
01/04/2001,152
01/05/2001,151
01/06/2001,152
01/07/2001,153
01/08/2001,169
01/09/2001,113
01/10/2001,147
01/11/2001,144
01/12/2001,142
01/01/2002,145
01/02/2002,133
01/03/2002,130
01/04/2002,147
01/05/2002,151
01/06/2002,142
01/07/2002,137
01/08/2002,135
01/09/2002,141
01/10/2002,139
01/11/2002,136
01/12/2002,163
01/01/2003,141
01/02/2003,141
01/03/2003,134
01/04/2003,134
01/05/2003,133
01/06/2003,124
01/07/2003,127
01/08/2003,125
01/09/2003,138
01/10/2003,118
01/11/2003,123
01/12/2003,132
01/01/2004,130
01/02/2004,135
01/03/2004,142
01/04/2004,142
01/05/2004,131
01/06/2004,158
01/07/2004,133
01/08/2004,154
01/09/2004,143
01/10/2004,152
01/11/2004,158
01/12/2004,148
01/01/2005,164
01/02/2005,136
01/03/2005,140
01/04/2005,155
01/05/2005,147
01/06/2005,143
01/07/2005,148
01/08/2005,142
01/09/2005,135
01/10/2005,142
01/11/2005,156
01/12/2005,145
01/01/2006,145
01/02/2006,169
01/03/2006,170
01/04/2006,152
01/05/2006,157
01/06/2006,151
01/07/2006,180
01/08/2006,148
01/09/2006,180
01/10/2006,171
01/11/2006,162
01/12/2006,167
01/01/2007,157
01/02/2007,164
01/03/2007,164
01/04/2007,160
01/05/2007,184
01/06/2007,183
01/07/2007,175
01/08/2007,177
01/09/2007,154
01/10/2007,167
01/11/2007,147
01/12/2007,154
01/01/2008,164
01/02/2008,153
01/03/2008,142
01/04/2008,160
01/05/2008,121
01/06/2008,135
01/07/2008,138
01/08/2008,143
01/09/2008,144
01/10/2008,103
01/11/2008,145
01/12/2008,116
01/01/2009,120
01/02/2009,117
01/03/2009,114
01/04/2009,68
01/05/2009,99
01/06/2009,93
01/07/2009,100
01/08/2009,96
01/09/2009,85
01/10/2009,104
01/11/2009,92
01/12/2009,108
01/01/2010,104
01/02/2010,108
01/03/2010,110
01/04/2010,120
01/05/2010,104
01/06/2010,127
01/07/2010,110
01/08/2010,109
01/09/2010,123
01/10/2010,118
01/11/2010,109
01/12/2010,114
01/01/2011,88
01/02/2011,104
01/03/2011,103
01/04/2011,83
01/05/2011,104
01/06/2011,100
01/07/2011,100
01/08/2011,98
01/09/2011,100
01/10/2011,90
01/11/2011,113
01/12/2011,118
01/01/2012,110
01/02/2012,108
01/03/2012,120
01/04/2012,130
01/05/2012,123
01/06/2012,122
01/07/2012,100
01/08/2012,128
01/09/2012,125
01/10/2012,129
01/11/2012,137
01/12/2012,103
01/01/2013,142
01/02/2013,132
01/03/2013,121
01/04/2013,138
01/05/2013,154
01/06/2013,118
01/07/2013,146
01/08/2013,134
01/09/2013,137
01/10/2013,120
01/11/2013,118
01/12/2013,111
01/01/2014,99
01/02/2014,122
01/03/2014,128
01/04/2014,114
01/05/2014,115
01/06/2014,123
01/07/2014,133
01/08/2014,140
01/09/2014,150
01/10/2014,117
01/11/2014,149
01/12/2014,151
01/01/2015,134
01/02/2015,101
01/03/2015,138
01/04/2015,145
01/05/2015,131
01/06/2015,146
01/07/2015,131
01/08/2015,122
01/09/2015,124
01/10/2015,134
01/11/2015,140
01/12/2015,145
01/01/2016,151
01/02/2016,146
01/03/2016,139
01/04/2016,135
01/05/2016,127
01/06/2016,130
01/07/2016,119
01/08/2016,138
01/09/2016,123
01/10/2016,144
01/11/2016,123
01/12/2016,131
01/01/2017,157
01/02/2017,115
01/03/2017,152
01/04/2017,134
01/05/2017,150
01/06/2017,139
01/07/2017,142
01/08/2017,133
01/09/2017,128
01/10/2017,153
01/11/2017,130
01/12/2017,129
01/01/2018,150
01/02/2018,138
01/03/2018,121
01/04/2018,124
01/05/2018,132
01/06/2018,159
01/07/2018,130
01/08/2018,131
01/09/2018,153
01/10/2018,122
01/11/2018,133
01/12/2018,142
01/01/2019,102
01/02/2019,135
01/03/2019,134
01/04/2019,149
01/05/2019,141
01/06/2019,133
01/07/2019,166
01/08/2019,153
01/09/2019,143
01/10/2019,137
01/11/2019,151
01/12/2019,135
01/01/2020,142
01/02/2020,156
