DATE,JTS510000000000000HIL
01/12/2000,111
01/01/2001,171
01/02/2001,135
01/03/2001,110
01/04/2001,124
01/05/2001,115
01/06/2001,113
01/07/2001,121
01/08/2001,114
01/09/2001,104
01/10/2001,105
01/11/2001,114
01/12/2001,106
01/01/2002,104
01/02/2002,90
01/03/2002,98
01/04/2002,92
01/05/2002,83
01/06/2002,92
01/07/2002,84
01/08/2002,86
01/09/2002,83
01/10/2002,93
01/11/2002,89
01/12/2002,80
01/01/2003,92
01/02/2003,83
01/03/2003,86
01/04/2003,65
01/05/2003,96
01/06/2003,87
01/07/2003,87
01/08/2003,80
01/09/2003,84
01/10/2003,87
01/11/2003,76
01/12/2003,91
01/01/2004,72
01/02/2004,93
01/03/2004,83
01/04/2004,81
01/05/2004,78
01/06/2004,99
01/07/2004,64
01/08/2004,74
01/09/2004,78
01/10/2004,75
01/11/2004,68
01/12/2004,72
01/01/2005,78
01/02/2005,65
01/03/2005,93
01/04/2005,86
01/05/2005,82
01/06/2005,76
01/07/2005,90
01/08/2005,98
01/09/2005,103
01/10/2005,76
01/11/2005,103
01/12/2005,94
01/01/2006,87
01/02/2006,111
01/03/2006,93
01/04/2006,89
01/05/2006,99
01/06/2006,93
01/07/2006,100
01/08/2006,92
01/09/2006,84
01/10/2006,87
01/11/2006,95
01/12/2006,88
01/01/2007,97
01/02/2007,92
01/03/2007,78
01/04/2007,92
01/05/2007,91
01/06/2007,85
01/07/2007,84
01/08/2007,88
01/09/2007,80
01/10/2007,68
01/11/2007,62
01/12/2007,68
01/01/2008,82
01/02/2008,67
01/03/2008,70
01/04/2008,67
01/05/2008,60
01/06/2008,69
01/07/2008,49
01/08/2008,47
01/09/2008,65
01/10/2008,80
01/11/2008,57
01/12/2008,61
01/01/2009,60
01/02/2009,59
01/03/2009,63
01/04/2009,54
01/05/2009,58
01/06/2009,61
01/07/2009,70
01/08/2009,55
01/09/2009,59
01/10/2009,68
01/11/2009,67
01/12/2009,66
01/01/2010,64
01/02/2010,56
01/03/2010,55
01/04/2010,48
01/05/2010,49
01/06/2010,51
01/07/2010,54
01/08/2010,58
01/09/2010,61
01/10/2010,64
01/11/2010,66
01/12/2010,65
01/01/2011,62
01/02/2011,54
01/03/2011,59
01/04/2011,72
01/05/2011,63
01/06/2011,71
01/07/2011,46
01/08/2011,71
01/09/2011,62
01/10/2011,57
01/11/2011,62
01/12/2011,69
01/01/2012,54
01/02/2012,71
01/03/2012,67
01/04/2012,68
01/05/2012,72
01/06/2012,55
01/07/2012,51
01/08/2012,82
01/09/2012,59
01/10/2012,63
01/11/2012,72
01/12/2012,67
01/01/2013,62
01/02/2013,85
01/03/2013,50
01/04/2013,70
01/05/2013,81
01/06/2013,89
01/07/2013,91
01/08/2013,83
01/09/2013,94
01/10/2013,82
01/11/2013,78
01/12/2013,84
01/01/2014,91
01/02/2014,81
01/03/2014,91
01/04/2014,80
01/05/2014,74
01/06/2014,79
01/07/2014,90
01/08/2014,78
01/09/2014,74
01/10/2014,81
01/11/2014,107
01/12/2014,79
01/01/2015,80
01/02/2015,78
01/03/2015,81
01/04/2015,84
01/05/2015,88
01/06/2015,80
01/07/2015,82
01/08/2015,82
01/09/2015,82
01/10/2015,89
01/11/2015,78
01/12/2015,75
01/01/2016,88
01/02/2016,86
01/03/2016,76
01/04/2016,92
01/05/2016,72
01/06/2016,85
01/07/2016,79
01/08/2016,78
01/09/2016,80
01/10/2016,78
01/11/2016,85
01/12/2016,82
01/01/2017,86
01/02/2017,83
01/03/2017,77
01/04/2017,69
01/05/2017,76
01/06/2017,81
01/07/2017,84
01/08/2017,89
01/09/2017,97
01/10/2017,91
01/11/2017,90
01/12/2017,97
01/01/2018,92
01/02/2018,92
01/03/2018,95
01/04/2018,91
01/05/2018,98
01/06/2018,91
01/07/2018,84
01/08/2018,89
01/09/2018,86
01/10/2018,86
01/11/2018,100
01/12/2018,85
01/01/2019,86
01/02/2019,88
01/03/2019,101
01/04/2019,93
01/05/2019,109
01/06/2019,92
01/07/2019,99
01/08/2019,93
01/09/2019,91
01/10/2019,96
01/11/2019,91
01/12/2019,95
01/01/2020,83
01/02/2020,95
