DATE,JTS3200HIL
2000-12-01,271
2001-01-01,281
2001-02-01,272
2001-03-01,262
2001-04-01,244
2001-05-01,201
2001-06-01,206
2001-07-01,208
2001-08-01,192
2001-09-01,186
2001-10-01,211
2001-11-01,196
2001-12-01,206
2002-01-01,196
2002-02-01,245
2002-03-01,223
2002-04-01,245
2002-05-01,243
2002-06-01,231
2002-07-01,236
2002-08-01,229
2002-09-01,241
2002-10-01,219
2002-11-01,216
2002-12-01,217
2003-01-01,235
2003-02-01,212
2003-03-01,198
2003-04-01,189
2003-05-01,198
2003-06-01,204
2003-07-01,204
2003-08-01,218
2003-09-01,216
2003-10-01,222
2003-11-01,237
2003-12-01,239
2004-01-01,239
2004-02-01,230
2004-03-01,245
2004-04-01,244
2004-05-01,237
2004-06-01,256
2004-07-01,239
2004-08-01,271
2004-09-01,242
2004-10-01,237
2004-11-01,231
2004-12-01,235
2005-01-01,244
2005-02-01,245
2005-03-01,221
2005-04-01,247
2005-05-01,255
2005-06-01,230
2005-07-01,245
2005-08-01,239
2005-09-01,248
2005-10-01,250
2005-11-01,232
2005-12-01,232
2006-01-01,220
2006-02-01,223
2006-03-01,243
2006-04-01,223
2006-05-01,232
2006-06-01,254
2006-07-01,237
2006-08-01,226
2006-09-01,205
2006-10-01,201
2006-11-01,214
2006-12-01,216
2007-01-01,223
2007-02-01,226
2007-03-01,217
2007-04-01,218
2007-05-01,224
2007-06-01,229
2007-07-01,214
2007-08-01,220
2007-09-01,217
2007-10-01,224
2007-11-01,228
2007-12-01,189
2008-01-01,193
2008-02-01,176
2008-03-01,178
2008-04-01,199
2008-05-01,181
2008-06-01,174
2008-07-01,152
2008-08-01,171
2008-09-01,173
2008-10-01,182
2008-11-01,133
2008-12-01,161
2009-01-01,95
2009-02-01,142
2009-03-01,140
2009-04-01,118
2009-05-01,67
2009-06-01,90
2009-07-01,130
2009-08-01,124
2009-09-01,143
2009-10-01,120
2009-11-01,134
2009-12-01,138
2010-01-01,133
2010-02-01,140
2010-03-01,140
2010-04-01,161
2010-05-01,145
2010-06-01,145
2010-07-01,162
2010-08-01,154
2010-09-01,144
2010-10-01,151
2010-11-01,159
2010-12-01,155
2011-01-01,153
2011-02-01,163
2011-03-01,152
2011-04-01,148
2011-05-01,158
2011-06-01,150
2011-07-01,143
2011-08-01,147
2011-09-01,143
2011-10-01,147
2011-11-01,138
2011-12-01,156
2012-01-01,156
2012-02-01,152
2012-03-01,168
2012-04-01,155
2012-05-01,142
2012-06-01,166
2012-07-01,146
2012-08-01,136
2012-09-01,133
2012-10-01,157
2012-11-01,159
2012-12-01,151
2013-01-01,150
2013-02-01,149
2013-03-01,144
2013-04-01,153
2013-05-01,161
2013-06-01,141
2013-07-01,138
2013-08-01,157
2013-09-01,159
2013-10-01,141
2013-11-01,148
2013-12-01,143
2014-01-01,137
2014-02-01,141
2014-03-01,150
2014-04-01,151
2014-05-01,154
2014-06-01,157
2014-07-01,154
2014-08-01,140
2014-09-01,161
2014-10-01,182
2014-11-01,160
2014-12-01,161
2015-01-01,153
2015-02-01,157
2015-03-01,156
2015-04-01,150
2015-05-01,147
2015-06-01,154
2015-07-01,160
2015-08-01,168
2015-09-01,175
2015-10-01,154
2015-11-01,150
2015-12-01,158
2016-01-01,166
2016-02-01,172
2016-03-01,152
2016-04-01,161
2016-05-01,155
2016-06-01,156
2016-07-01,165
2016-08-01,142
2016-09-01,157
2016-10-01,163
2016-11-01,164
2016-12-01,172
2017-01-01,171
2017-02-01,156
2017-03-01,175
2017-04-01,170
2017-05-01,185
2017-06-01,203
2017-07-01,184
2017-08-01,221
2017-09-01,188
2017-10-01,195
2017-11-01,192
2017-12-01,200
2018-01-01,215
2018-02-01,209
2018-03-01,213
2018-04-01,215
2018-05-01,213
2018-06-01,213
2018-07-01,222
2018-08-01,206
2018-09-01,190
2018-10-01,232
2018-11-01,199
2018-12-01,187
2019-01-01,189
2019-02-01,189
2019-03-01,185
2019-04-01,207
2019-05-01,189
2019-06-01,183
2019-07-01,182
2019-08-01,189
2019-09-01,193
2019-10-01,173
2019-11-01,205
2019-12-01,191
2020-01-01,181
2020-02-01,216
