DATE,JTS3400HIL
2000-12-01,233
2001-01-01,217
2001-02-01,166
2001-03-01,205
2001-04-01,200
2001-05-01,198
2001-06-01,192
2001-07-01,163
2001-08-01,173
2001-09-01,157
2001-10-01,176
2001-11-01,175
2001-12-01,180
2002-01-01,168
2002-02-01,164
2002-03-01,146
2002-04-01,177
2002-05-01,168
2002-06-01,169
2002-07-01,181
2002-08-01,152
2002-09-01,162
2002-10-01,152
2002-11-01,162
2002-12-01,152
2003-01-01,178
2003-02-01,153
2003-03-01,143
2003-04-01,131
2003-05-01,132
2003-06-01,132
2003-07-01,135
2003-08-01,140
2003-09-01,138
2003-10-01,145
2003-11-01,130
2003-12-01,132
2004-01-01,140
2004-02-01,142
2004-03-01,146
2004-04-01,163
2004-05-01,156
2004-06-01,126
2004-07-01,139
2004-08-01,143
2004-09-01,140
2004-10-01,132
2004-11-01,157
2004-12-01,136
2005-01-01,126
2005-02-01,124
2005-03-01,150
2005-04-01,135
2005-05-01,122
2005-06-01,135
2005-07-01,142
2005-08-01,150
2005-09-01,156
2005-10-01,143
2005-11-01,153
2005-12-01,141
2006-01-01,157
2006-02-01,161
2006-03-01,168
2006-04-01,136
2006-05-01,153
2006-06-01,155
2006-07-01,155
2006-08-01,155
2006-09-01,143
2006-10-01,145
2006-11-01,149
2006-12-01,158
2007-01-01,170
2007-02-01,159
2007-03-01,156
2007-04-01,146
2007-05-01,161
2007-06-01,156
2007-07-01,155
2007-08-01,152
2007-09-01,153
2007-10-01,164
2007-11-01,157
2007-12-01,167
2008-01-01,140
2008-02-01,142
2008-03-01,139
2008-04-01,147
2008-05-01,140
2008-06-01,139
2008-07-01,103
2008-08-01,111
2008-09-01,130
2008-10-01,122
2008-11-01,110
2008-12-01,102
2009-01-01,113
2009-02-01,112
2009-03-01,99
2009-04-01,92
2009-05-01,111
2009-06-01,105
2009-07-01,117
2009-08-01,116
2009-09-01,134
2009-10-01,117
2009-11-01,111
2009-12-01,108
2010-01-01,92
2010-02-01,116
2010-03-01,118
2010-04-01,117
2010-05-01,109
2010-06-01,116
2010-07-01,110
2010-08-01,116
2010-09-01,116
2010-10-01,116
2010-11-01,126
2010-12-01,119
2011-01-01,109
2011-02-01,107
2011-03-01,117
2011-04-01,118
2011-05-01,113
2011-06-01,106
2011-07-01,114
2011-08-01,115
2011-09-01,102
2011-10-01,100
2011-11-01,88
2011-12-01,112
2012-01-01,111
2012-02-01,112
2012-03-01,108
2012-04-01,107
2012-05-01,110
2012-06-01,109
2012-07-01,102
2012-08-01,96
2012-09-01,96
2012-10-01,93
2012-11-01,88
2012-12-01,83
2013-01-01,97
2013-02-01,97
2013-03-01,77
2013-04-01,91
2013-05-01,114
2013-06-01,94
2013-07-01,97
2013-08-01,109
2013-09-01,102
2013-10-01,89
2013-11-01,111
2013-12-01,106
2014-01-01,106
2014-02-01,99
2014-03-01,107
2014-04-01,101
2014-05-01,97
2014-06-01,109
2014-07-01,113
2014-08-01,103
2014-09-01,127
2014-10-01,114
2014-11-01,103
2014-12-01,116
2015-01-01,102
2015-02-01,106
2015-03-01,111
2015-04-01,111
2015-05-01,110
2015-06-01,113
2015-07-01,106
2015-08-01,106
2015-09-01,116
2015-10-01,129
2015-11-01,121
2015-12-01,112
2016-01-01,115
2016-02-01,116
2016-03-01,106
2016-04-01,117
2016-05-01,115
2016-06-01,125
2016-07-01,115
2016-08-01,121
2016-09-01,125
2016-10-01,123
2016-11-01,123
2016-12-01,130
2017-01-01,136
2017-02-01,139
2017-03-01,150
2017-04-01,154
2017-05-01,149
2017-06-01,140
2017-07-01,147
2017-08-01,149
2017-09-01,139
2017-10-01,152
2017-11-01,147
2017-12-01,147
2018-01-01,149
2018-02-01,158
2018-03-01,146
2018-04-01,153
2018-05-01,159
2018-06-01,164
2018-07-01,168
2018-08-01,165
2018-09-01,142
2018-10-01,158
2018-11-01,160
2018-12-01,157
2019-01-01,164
2019-02-01,147
2019-03-01,161
2019-04-01,152
2019-05-01,150
2019-06-01,146
2019-07-01,151
2019-08-01,146
2019-09-01,148
2019-10-01,132
2019-11-01,143
2019-12-01,141
2020-01-01,140
2020-02-01,139
