DATE,JTS110099000000000HIL
01/12/2000,23
01/01/2001,22
01/02/2001,19
01/03/2001,25
01/04/2001,18
01/05/2001,26
01/06/2001,32
01/07/2001,27
01/08/2001,23
01/09/2001,23
01/10/2001,23
01/11/2001,23
01/12/2001,19
01/01/2002,21
01/02/2002,19
01/03/2002,17
01/04/2002,16
01/05/2002,17
01/06/2002,18
01/07/2002,21
01/08/2002,24
01/09/2002,19
01/10/2002,18
01/11/2002,19
01/12/2002,20
01/01/2003,19
01/02/2003,22
01/03/2003,18
01/04/2003,13
01/05/2003,26
01/06/2003,27
01/07/2003,19
01/08/2003,24
01/09/2003,19
01/10/2003,23
01/11/2003,19
01/12/2003,24
01/01/2004,20
01/02/2004,22
01/03/2004,23
01/04/2004,24
01/05/2004,22
01/06/2004,20
01/07/2004,21
01/08/2004,21
01/09/2004,25
01/10/2004,23
01/11/2004,25
01/12/2004,22
01/01/2005,28
01/02/2005,23
01/03/2005,27
01/04/2005,25
01/05/2005,22
01/06/2005,25
01/07/2005,23
01/08/2005,21
01/09/2005,23
01/10/2005,23
01/11/2005,24
01/12/2005,23
01/01/2006,23
01/02/2006,25
01/03/2006,30
01/04/2006,35
01/05/2006,19
01/06/2006,24
01/07/2006,26
01/08/2006,27
01/09/2006,32
01/10/2006,24
01/11/2006,22
01/12/2006,24
01/01/2007,24
01/02/2007,26
01/03/2007,24
01/04/2007,27
01/05/2007,32
01/06/2007,30
01/07/2007,30
01/08/2007,29
01/09/2007,29
01/10/2007,23
01/11/2007,32
01/12/2007,30
01/01/2008,38
01/02/2008,32
01/03/2008,30
01/04/2008,32
01/05/2008,30
01/06/2008,37
01/07/2008,31
01/08/2008,34
01/09/2008,30
01/10/2008,32
01/11/2008,27
01/12/2008,27
01/01/2009,23
01/02/2009,19
01/03/2009,16
01/04/2009,12
01/05/2009,11
01/06/2009,14
01/07/2009,16
01/08/2009,12
01/09/2009,17
01/10/2009,19
01/11/2009,22
01/12/2009,24
01/01/2010,23
01/02/2010,24
01/03/2010,23
01/04/2010,24
01/05/2010,28
01/06/2010,21
01/07/2010,24
01/08/2010,29
01/09/2010,23
01/10/2010,24
01/11/2010,24
01/12/2010,21
01/01/2011,16
01/02/2011,22
01/03/2011,27
01/04/2011,35
01/05/2011,30
01/06/2011,32
01/07/2011,32
01/08/2011,28
01/09/2011,32
01/10/2011,30
01/11/2011,25
01/12/2011,31
01/01/2012,35
01/02/2012,33
01/03/2012,35
01/04/2012,35
01/05/2012,38
01/06/2012,29
01/07/2012,27
01/08/2012,32
01/09/2012,24
01/10/2012,30
01/11/2012,33
01/12/2012,31
01/01/2013,30
01/02/2013,34
01/03/2013,31
01/04/2013,28
01/05/2013,30
01/06/2013,33
01/07/2013,31
01/08/2013,27
01/09/2013,30
01/10/2013,31
01/11/2013,25
01/12/2013,31
01/01/2014,30
01/02/2014,32
01/03/2014,36
01/04/2014,39
01/05/2014,35
01/06/2014,35
01/07/2014,33
01/08/2014,30
01/09/2014,34
01/10/2014,28
01/11/2014,31
01/12/2014,30
01/01/2015,30
01/02/2015,25
01/03/2015,22
01/04/2015,24
01/05/2015,19
01/06/2015,23
01/07/2015,27
01/08/2015,30
01/09/2015,22
01/10/2015,28
01/11/2015,22
01/12/2015,31
01/01/2016,23
01/02/2016,20
01/03/2016,25
01/04/2016,19
01/05/2016,20
01/06/2016,22
01/07/2016,22
01/08/2016,27
01/09/2016,28
01/10/2016,28
01/11/2016,32
01/12/2016,26
01/01/2017,29
01/02/2017,34
01/03/2017,26
01/04/2017,29
01/05/2017,38
01/06/2017,30
01/07/2017,33
01/08/2017,30
01/09/2017,28
01/10/2017,32
01/11/2017,34
01/12/2017,31
01/01/2018,33
01/02/2018,33
01/03/2018,35
01/04/2018,41
01/05/2018,40
01/06/2018,44
01/07/2018,39
01/08/2018,46
01/09/2018,40
01/10/2018,33
01/11/2018,28
01/12/2018,37
01/01/2019,33
01/02/2019,31
01/03/2019,34
01/04/2019,26
01/05/2019,26
01/06/2019,19
01/07/2019,22
01/08/2019,21
01/09/2019,22
01/10/2019,26
01/11/2019,21
01/12/2019,23
01/01/2020,16
01/02/2020,23
