DATE,JTS810000000000000HIL
01/12/2000,132
01/01/2001,180
01/02/2001,192
01/03/2001,230
01/04/2001,211
01/05/2001,143
01/06/2001,163
01/07/2001,186
01/08/2001,200
01/09/2001,184
01/10/2001,211
01/11/2001,195
01/12/2001,203
01/01/2002,195
01/02/2002,187
01/03/2002,153
01/04/2002,178
01/05/2002,192
01/06/2002,233
01/07/2002,181
01/08/2002,209
01/09/2002,213
01/10/2002,199
01/11/2002,191
01/12/2002,184
01/01/2003,220
01/02/2003,208
01/03/2003,189
01/04/2003,188
01/05/2003,191
01/06/2003,196
01/07/2003,211
01/08/2003,170
01/09/2003,204
01/10/2003,199
01/11/2003,235
01/12/2003,215
01/01/2004,187
01/02/2004,195
01/03/2004,214
01/04/2004,213
01/05/2004,207
01/06/2004,202
01/07/2004,204
01/08/2004,213
01/09/2004,200
01/10/2004,213
01/11/2004,210
01/12/2004,242
01/01/2005,232
01/02/2005,238
01/03/2005,222
01/04/2005,220
01/05/2005,244
01/06/2005,209
01/07/2005,216
01/08/2005,215
01/09/2005,198
01/10/2005,190
01/11/2005,233
01/12/2005,188
01/01/2006,196
01/02/2006,194
01/03/2006,204
01/04/2006,210
01/05/2006,182
01/06/2006,203
01/07/2006,184
01/08/2006,194
01/09/2006,194
01/10/2006,253
01/11/2006,184
01/12/2006,171
01/01/2007,194
01/02/2007,149
01/03/2007,197
01/04/2007,175
01/05/2007,177
01/06/2007,203
01/07/2007,206
01/08/2007,185
01/09/2007,201
01/10/2007,197
01/11/2007,188
01/12/2007,227
01/01/2008,180
01/02/2008,186
01/03/2008,192
01/04/2008,196
01/05/2008,219
01/06/2008,168
01/07/2008,185
01/08/2008,185
01/09/2008,174
01/10/2008,181
01/11/2008,107
01/12/2008,178
01/01/2009,181
01/02/2009,199
01/03/2009,165
01/04/2009,184
01/05/2009,161
01/06/2009,205
01/07/2009,172
01/08/2009,173
01/09/2009,178
01/10/2009,149
01/11/2009,152
01/12/2009,181
01/01/2010,161
01/02/2010,154
01/03/2010,168
01/04/2010,154
01/05/2010,172
01/06/2010,169
01/07/2010,151
01/08/2010,161
01/09/2010,150
01/10/2010,191
01/11/2010,168
01/12/2010,147
01/01/2011,167
01/02/2011,203
01/03/2011,161
01/04/2011,173
01/05/2011,166
01/06/2011,178
01/07/2011,208
01/08/2011,185
01/09/2011,210
01/10/2011,223
01/11/2011,197
01/12/2011,190
01/01/2012,190
01/02/2012,167
01/03/2012,182
01/04/2012,197
01/05/2012,192
01/06/2012,178
01/07/2012,174
01/08/2012,187
01/09/2012,189
01/10/2012,189
01/11/2012,220
01/12/2012,187
01/01/2013,185
01/02/2013,193
01/03/2013,218
01/04/2013,194
01/05/2013,204
01/06/2013,186
01/07/2013,181
01/08/2013,185
01/09/2013,178
01/10/2013,177
01/11/2013,178
01/12/2013,206
01/01/2014,200
01/02/2014,188
01/03/2014,169
01/04/2014,175
01/05/2014,189
01/06/2014,174
01/07/2014,194
01/08/2014,189
01/09/2014,177
01/10/2014,191
01/11/2014,203
01/12/2014,180
01/01/2015,190
01/02/2015,239
01/03/2015,209
01/04/2015,194
01/05/2015,202
01/06/2015,226
01/07/2015,220
01/08/2015,198
01/09/2015,225
01/10/2015,208
01/11/2015,186
01/12/2015,218
01/01/2016,179
01/02/2016,206
01/03/2016,226
01/04/2016,181
01/05/2016,167
01/06/2016,232
01/07/2016,164
01/08/2016,176
01/09/2016,201
01/10/2016,177
01/11/2016,214
01/12/2016,190
01/01/2017,248
01/02/2017,224
01/03/2017,207
01/04/2017,232
01/05/2017,218
01/06/2017,222
01/07/2017,246
01/08/2017,238
01/09/2017,197
01/10/2017,238
01/11/2017,203
01/12/2017,219
01/01/2018,208
01/02/2018,192
01/03/2018,214
01/04/2018,222
01/05/2018,254
01/06/2018,193
01/07/2018,190
01/08/2018,228
01/09/2018,217
01/10/2018,221
01/11/2018,243
01/12/2018,215
01/01/2019,228
01/02/2019,198
01/03/2019,209
01/04/2019,225
01/05/2019,223
01/06/2019,235
01/07/2019,222
01/08/2019,225
01/09/2019,197
01/10/2019,216
01/11/2019,207
01/12/2019,228
01/01/2020,239
01/02/2020,226
