DATE,JTS530000000000000HIL
01/12/2000,80
01/01/2001,78
01/02/2001,82
01/03/2001,67
01/04/2001,70
01/05/2001,62
01/06/2001,73
01/07/2001,70
01/08/2001,66
01/09/2001,79
01/10/2001,73
01/11/2001,89
01/12/2001,66
01/01/2002,78
01/02/2002,67
01/03/2002,77
01/04/2002,74
01/05/2002,68
01/06/2002,71
01/07/2002,76
01/08/2002,77
01/09/2002,75
01/10/2002,59
01/11/2002,76
01/12/2002,82
01/01/2003,83
01/02/2003,83
01/03/2003,85
01/04/2003,98
01/05/2003,87
01/06/2003,76
01/07/2003,81
01/08/2003,80
01/09/2003,74
01/10/2003,72
01/11/2003,75
01/12/2003,78
01/01/2004,71
01/02/2004,66
01/03/2004,82
01/04/2004,85
01/05/2004,111
01/06/2004,108
01/07/2004,94
01/08/2004,77
01/09/2004,97
01/10/2004,92
01/11/2004,79
01/12/2004,96
01/01/2005,101
01/02/2005,97
01/03/2005,83
01/04/2005,83
01/05/2005,91
01/06/2005,72
01/07/2005,73
01/08/2005,79
01/09/2005,83
01/10/2005,94
01/11/2005,88
01/12/2005,83
01/01/2006,87
01/02/2006,96
01/03/2006,93
01/04/2006,91
01/05/2006,72
01/06/2006,100
01/07/2006,104
01/08/2006,87
01/09/2006,81
01/10/2006,98
01/11/2006,104
01/12/2006,88
01/01/2007,79
01/02/2007,88
01/03/2007,88
01/04/2007,77
01/05/2007,89
01/06/2007,66
01/07/2007,81
01/08/2007,90
01/09/2007,90
01/10/2007,82
01/11/2007,86
01/12/2007,83
01/01/2008,86
01/02/2008,83
01/03/2008,77
01/04/2008,85
01/05/2008,75
01/06/2008,81
01/07/2008,70
01/08/2008,69
01/09/2008,76
01/10/2008,64
01/11/2008,62
01/12/2008,64
01/01/2009,64
01/02/2009,53
01/03/2009,64
01/04/2009,62
01/05/2009,55
01/06/2009,63
01/07/2009,81
01/08/2009,72
01/09/2009,64
01/10/2009,70
01/11/2009,55
01/12/2009,78
01/01/2010,56
01/02/2010,60
01/03/2010,45
01/04/2010,62
01/05/2010,67
01/06/2010,56
01/07/2010,58
01/08/2010,52
01/09/2010,46
01/10/2010,44
01/11/2010,58
01/12/2010,74
01/01/2011,60
01/02/2011,54
01/03/2011,63
01/04/2011,43
01/05/2011,47
01/06/2011,59
01/07/2011,52
01/08/2011,65
01/09/2011,55
01/10/2011,80
01/11/2011,64
01/12/2011,61
01/01/2012,56
01/02/2012,69
01/03/2012,64
01/04/2012,67
01/05/2012,58
01/06/2012,62
01/07/2012,63
01/08/2012,66
01/09/2012,74
01/10/2012,67
01/11/2012,69
01/12/2012,73
01/01/2013,76
01/02/2013,76
01/03/2013,64
01/04/2013,50
01/05/2013,70
01/06/2013,69
01/07/2013,73
01/08/2013,69
01/09/2013,87
01/10/2013,73
01/11/2013,67
01/12/2013,64
01/01/2014,60
01/02/2014,59
01/03/2014,69
01/04/2014,65
01/05/2014,74
01/06/2014,64
01/07/2014,63
01/08/2014,61
01/09/2014,58
01/10/2014,59
01/11/2014,84
01/12/2014,60
01/01/2015,73
01/02/2015,60
01/03/2015,53
01/04/2015,64
01/05/2015,60
01/06/2015,56
01/07/2015,63
01/08/2015,61
01/09/2015,74
01/10/2015,72
01/11/2015,75
01/12/2015,74
01/01/2016,72
01/02/2016,70
01/03/2016,79
01/04/2016,74
01/05/2016,59
01/06/2016,70
01/07/2016,67
01/08/2016,56
01/09/2016,61
01/10/2016,64
01/11/2016,61
01/12/2016,70
01/01/2017,74
01/02/2017,73
01/03/2017,76
01/04/2017,73
01/05/2017,74
01/06/2017,75
01/07/2017,69
01/08/2017,77
01/09/2017,68
01/10/2017,83
01/11/2017,65
01/12/2017,66
01/01/2018,67
01/02/2018,71
01/03/2018,69
01/04/2018,67
01/05/2018,73
01/06/2018,72
01/07/2018,74
01/08/2018,76
01/09/2018,77
01/10/2018,71
01/11/2018,76
01/12/2018,72
01/01/2019,83
01/02/2019,68
01/03/2019,61
01/04/2019,79
01/05/2019,83
01/06/2019,91
01/07/2019,87
01/08/2019,85
01/09/2019,82
01/10/2019,82
01/11/2019,87
01/12/2019,83
01/01/2020,76
01/02/2020,84
