DATE,JTS480099000000000HIL
01/12/2000,139
01/01/2001,134
01/02/2001,163
01/03/2001,148
01/04/2001,167
01/05/2001,184
01/06/2001,150
01/07/2001,162
01/08/2001,147
01/09/2001,133
01/10/2001,130
01/11/2001,151
01/12/2001,130
01/01/2002,135
01/02/2002,158
01/03/2002,134
01/04/2002,162
01/05/2002,130
01/06/2002,148
01/07/2002,150
01/08/2002,170
01/09/2002,137
01/10/2002,144
01/11/2002,131
01/12/2002,134
01/01/2003,136
01/02/2003,118
01/03/2003,145
01/04/2003,118
01/05/2003,125
01/06/2003,142
01/07/2003,126
01/08/2003,134
01/09/2003,154
01/10/2003,162
01/11/2003,146
01/12/2003,160
01/01/2004,169
01/02/2004,155
01/03/2004,168
01/04/2004,154
01/05/2004,175
01/06/2004,151
01/07/2004,178
01/08/2004,170
01/09/2004,180
01/10/2004,163
01/11/2004,179
01/12/2004,194
01/01/2005,181
01/02/2005,188
01/03/2005,170
01/04/2005,191
01/05/2005,182
01/06/2005,200
01/07/2005,172
01/08/2005,187
01/09/2005,193
01/10/2005,181
01/11/2005,226
01/12/2005,204
01/01/2006,191
01/02/2006,179
01/03/2006,170
01/04/2006,177
01/05/2006,191
01/06/2006,176
01/07/2006,182
01/08/2006,205
01/09/2006,169
01/10/2006,174
01/11/2006,167
01/12/2006,149
01/01/2007,174
01/02/2007,162
01/03/2007,174
01/04/2007,163
01/05/2007,162
01/06/2007,158
01/07/2007,151
01/08/2007,144
01/09/2007,149
01/10/2007,152
01/11/2007,138
01/12/2007,116
01/01/2008,139
01/02/2008,162
01/03/2008,167
01/04/2008,170
01/05/2008,137
01/06/2008,153
01/07/2008,156
01/08/2008,157
01/09/2008,136
01/10/2008,151
01/11/2008,111
01/12/2008,108
01/01/2009,133
01/02/2009,137
01/03/2009,158
01/04/2009,121
01/05/2009,129
01/06/2009,120
01/07/2009,132
01/08/2009,123
01/09/2009,152
01/10/2009,122
01/11/2009,148
01/12/2009,134
01/01/2010,129
01/02/2010,112
01/03/2010,125
01/04/2010,123
01/05/2010,141
01/06/2010,165
01/07/2010,144
01/08/2010,110
01/09/2010,139
01/10/2010,136
01/11/2010,140
01/12/2010,162
01/01/2011,110
01/02/2011,146
01/03/2011,136
01/04/2011,139
01/05/2011,126
01/06/2011,152
01/07/2011,145
01/08/2011,141
01/09/2011,137
01/10/2011,149
01/11/2011,142
01/12/2011,151
01/01/2012,149
01/02/2012,157
01/03/2012,161
01/04/2012,165
01/05/2012,175
01/06/2012,173
01/07/2012,150
01/08/2012,169
01/09/2012,145
01/10/2012,165
01/11/2012,156
01/12/2012,164
01/01/2013,158
01/02/2013,164
01/03/2013,145
01/04/2013,160
01/05/2013,158
01/06/2013,149
01/07/2013,151
01/08/2013,171
01/09/2013,171
01/10/2013,158
01/11/2013,179
01/12/2013,149
01/01/2014,202
01/02/2014,171
01/03/2014,196
01/04/2014,174
01/05/2014,179
01/06/2014,181
01/07/2014,190
01/08/2014,173
01/09/2014,184
01/10/2014,207
01/11/2014,181
01/12/2014,178
01/01/2015,187
01/02/2015,181
01/03/2015,195
01/04/2015,195
01/05/2015,200
01/06/2015,191
01/07/2015,207
01/08/2015,191
01/09/2015,198
01/10/2015,195
01/11/2015,182
01/12/2015,198
01/01/2016,163
01/02/2016,193
01/03/2016,185
01/04/2016,197
01/05/2016,187
01/06/2016,200
01/07/2016,203
01/08/2016,211
01/09/2016,211
01/10/2016,221
01/11/2016,230
01/12/2016,212
01/01/2017,206
01/02/2017,202
01/03/2017,205
01/04/2017,195
01/05/2017,202
01/06/2017,208
01/07/2017,196
01/08/2017,201
01/09/2017,225
01/10/2017,200
01/11/2017,215
01/12/2017,245
01/01/2018,224
01/02/2018,227
01/03/2018,232
01/04/2018,237
01/05/2018,247
01/06/2018,242
01/07/2018,214
01/08/2018,254
01/09/2018,232
01/10/2018,295
01/11/2018,275
01/12/2018,208
01/01/2019,260
01/02/2019,240
01/03/2019,238
01/04/2019,245
01/05/2019,244
01/06/2019,249
01/07/2019,265
01/08/2019,262
01/09/2019,266
01/10/2019,279
01/11/2019,270
01/12/2019,273
01/01/2020,268
01/02/2020,272
