DATE,JTS420000000000000HIL
01/12/2000,155
01/01/2001,147
01/02/2001,161
01/03/2001,144
01/04/2001,154
01/05/2001,172
01/06/2001,123
01/07/2001,147
01/08/2001,157
01/09/2001,145
01/10/2001,159
01/11/2001,149
01/12/2001,145
01/01/2002,163
01/02/2002,148
01/03/2002,164
01/04/2002,148
01/05/2002,156
01/06/2002,160
01/07/2002,162
01/08/2002,154
01/09/2002,165
01/10/2002,149
01/11/2002,159
01/12/2002,150
01/01/2003,152
01/02/2003,144
01/03/2003,139
01/04/2003,139
01/05/2003,137
01/06/2003,130
01/07/2003,153
01/08/2003,140
01/09/2003,157
01/10/2003,155
01/11/2003,135
01/12/2003,162
01/01/2004,163
01/02/2004,158
01/03/2004,200
01/04/2004,182
01/05/2004,156
01/06/2004,187
01/07/2004,159
01/08/2004,174
01/09/2004,162
01/10/2004,167
01/11/2004,157
01/12/2004,144
01/01/2005,164
01/02/2005,171
01/03/2005,160
01/04/2005,164
01/05/2005,170
01/06/2005,159
01/07/2005,161
01/08/2005,159
01/09/2005,152
01/10/2005,167
01/11/2005,179
01/12/2005,168
01/01/2006,148
01/02/2006,170
01/03/2006,161
01/04/2006,155
01/05/2006,167
01/06/2006,167
01/07/2006,166
01/08/2006,182
01/09/2006,172
01/10/2006,158
01/11/2006,167
01/12/2006,173
01/01/2007,157
01/02/2007,168
01/03/2007,186
01/04/2007,190
01/05/2007,176
01/06/2007,184
01/07/2007,182
01/08/2007,165
01/09/2007,159
01/10/2007,186
01/11/2007,165
01/12/2007,154
01/01/2008,170
01/02/2008,155
01/03/2008,135
01/04/2008,142
01/05/2008,145
01/06/2008,161
01/07/2008,131
01/08/2008,141
01/09/2008,140
01/10/2008,134
01/11/2008,128
01/12/2008,133
01/01/2009,127
01/02/2009,105
01/03/2009,113
01/04/2009,104
01/05/2009,130
01/06/2009,100
01/07/2009,105
01/08/2009,107
01/09/2009,113
01/10/2009,102
01/11/2009,136
01/12/2009,108
01/01/2010,96
01/02/2010,124
01/03/2010,121
01/04/2010,128
01/05/2010,113
01/06/2010,111
01/07/2010,126
01/08/2010,111
01/09/2010,130
01/10/2010,103
01/11/2010,127
01/12/2010,123
01/01/2011,126
01/02/2011,146
01/03/2011,131
01/04/2011,120
01/05/2011,138
01/06/2011,130
01/07/2011,106
01/08/2011,125
01/09/2011,121
01/10/2011,133
01/11/2011,124
01/12/2011,151
01/01/2012,136
01/02/2012,123
01/03/2012,138
01/04/2012,140
01/05/2012,127
01/06/2012,129
01/07/2012,131
01/08/2012,144
01/09/2012,125
01/10/2012,138
01/11/2012,120
01/12/2012,137
01/01/2013,128
01/02/2013,125
01/03/2013,112
01/04/2013,115
01/05/2013,114
01/06/2013,113
01/07/2013,128
01/08/2013,120
01/09/2013,132
01/10/2013,120
01/11/2013,122
01/12/2013,109
01/01/2014,124
01/02/2014,125
01/03/2014,111
01/04/2014,148
01/05/2014,156
01/06/2014,159
01/07/2014,144
01/08/2014,146
01/09/2014,149
01/10/2014,148
01/11/2014,161
01/12/2014,158
01/01/2015,135
01/02/2015,153
01/03/2015,147
01/04/2015,131
01/05/2015,138
01/06/2015,150
01/07/2015,142
01/08/2015,121
01/09/2015,131
01/10/2015,128
01/11/2015,134
01/12/2015,128
01/01/2016,132
01/02/2016,136
01/03/2016,148
01/04/2016,164
01/05/2016,138
01/06/2016,134
01/07/2016,124
01/08/2016,152
01/09/2016,135
01/10/2016,123
01/11/2016,129
01/12/2016,126
01/01/2017,146
01/02/2017,137
01/03/2017,131
01/04/2017,133
01/05/2017,129
01/06/2017,144
01/07/2017,138
01/08/2017,138
01/09/2017,131
01/10/2017,147
01/11/2017,130
01/12/2017,148
01/01/2018,147
01/02/2018,134
01/03/2018,134
01/04/2018,128
01/05/2018,131
01/06/2018,135
01/07/2018,144
01/08/2018,169
01/09/2018,138
01/10/2018,170
01/11/2018,170
01/12/2018,153
01/01/2019,142
01/02/2019,145
01/03/2019,127
01/04/2019,155
01/05/2019,161
01/06/2019,149
01/07/2019,170
01/08/2019,141
01/09/2019,158
01/10/2019,140
01/11/2019,148
01/12/2019,136
01/01/2020,139
01/02/2020,152
