DATE,JTS7100JOL
2000-12-01,42
2001-01-01,57
2001-02-01,43
2001-03-01,126
2001-04-01,49
2001-05-01,57
2001-06-01,63
2001-07-01,78
2001-08-01,62
2001-09-01,77
2001-10-01,58
2001-11-01,65
2001-12-01,66
2002-01-01,44
2002-02-01,59
2002-03-01,81
2002-04-01,57
2002-05-01,61
2002-06-01,44
2002-07-01,44
2002-08-01,51
2002-09-01,35
2002-10-01,50
2002-11-01,65
2002-12-01,43
2003-01-01,34
2003-02-01,35
2003-03-01,32
2003-04-01,41
2003-05-01,66
2003-06-01,65
2003-07-01,49
2003-08-01,56
2003-09-01,46
2003-10-01,63
2003-11-01,51
2003-12-01,59
2004-01-01,77
2004-02-01,77
2004-03-01,56
2004-04-01,38
2004-05-01,54
2004-06-01,58
2004-07-01,51
2004-08-01,53
2004-09-01,70
2004-10-01,53
2004-11-01,82
2004-12-01,112
2005-01-01,79
2005-02-01,81
2005-03-01,96
2005-04-01,101
2005-05-01,71
2005-06-01,91
2005-07-01,99
2005-08-01,90
2005-09-01,73
2005-10-01,73
2005-11-01,61
2005-12-01,71
2006-01-01,123
2006-02-01,82
2006-03-01,64
2006-04-01,87
2006-05-01,59
2006-06-01,66
2006-07-01,67
2006-08-01,57
2006-09-01,109
2006-10-01,92
2006-11-01,86
2006-12-01,84
2007-01-01,83
2007-02-01,75
2007-03-01,88
2007-04-01,77
2007-05-01,64
2007-06-01,113
2007-07-01,70
2007-08-01,64
2007-09-01,67
2007-10-01,76
2007-11-01,103
2007-12-01,57
2008-01-01,57
2008-02-01,66
2008-03-01,74
2008-04-01,61
2008-05-01,72
2008-06-01,53
2008-07-01,54
2008-08-01,77
2008-09-01,56
2008-10-01,54
2008-11-01,53
2008-12-01,50
2009-01-01,35
2009-02-01,30
2009-03-01,24
2009-04-01,25
2009-05-01,28
2009-06-01,19
2009-07-01,36
2009-08-01,25
2009-09-01,26
2009-10-01,17
2009-11-01,29
2009-12-01,19
2010-01-01,22
2010-02-01,27
2010-03-01,28
2010-04-01,28
2010-05-01,52
2010-06-01,62
2010-07-01,39
2010-08-01,45
2010-09-01,33
2010-10-01,35
2010-11-01,28
2010-12-01,41
2011-01-01,36
2011-02-01,47
2011-03-01,41
2011-04-01,41
2011-05-01,40
2011-06-01,81
2011-07-01,75
2011-08-01,49
2011-09-01,66
2011-10-01,63
2011-11-01,54
2011-12-01,39
2012-01-01,72
2012-02-01,59
2012-03-01,49
2012-04-01,77
2012-05-01,65
2012-06-01,73
2012-07-01,65
2012-08-01,59
2012-09-01,55
2012-10-01,54
2012-11-01,56
2012-12-01,65
2013-01-01,55
2013-02-01,52
2013-03-01,63
2013-04-01,47
2013-05-01,47
2013-06-01,51
2013-07-01,52
2013-08-01,94
2013-09-01,68
2013-10-01,90
2013-11-01,81
2013-12-01,82
2014-01-01,92
2014-02-01,74
2014-03-01,53
2014-04-01,92
2014-05-01,89
2014-06-01,76
2014-07-01,64
2014-08-01,84
2014-09-01,76
2014-10-01,66
2014-11-01,58
2014-12-01,86
2015-01-01,87
2015-02-01,97
2015-03-01,89
2015-04-01,72
2015-05-01,72
2015-06-01,67
2015-07-01,69
2015-08-01,58
2015-09-01,74
2015-10-01,77
2015-11-01,87
2015-12-01,77
2016-01-01,91
2016-02-01,74
2016-03-01,119
2016-04-01,112
2016-05-01,92
2016-06-01,94
2016-07-01,105
2016-08-01,96
2016-09-01,80
2016-10-01,108
2016-11-01,107
2016-12-01,94
2017-01-01,85
2017-02-01,89
2017-03-01,97
2017-04-01,84
2017-05-01,57
2017-06-01,110
2017-07-01,109
2017-08-01,98
2017-09-01,102
2017-10-01,92
2017-11-01,89
2017-12-01,90
2018-01-01,92
2018-02-01,121
2018-03-01,99
2018-04-01,108
2018-05-01,121
2018-06-01,152
2018-07-01,97
2018-08-01,110
2018-09-01,97
2018-10-01,94
2018-11-01,98
2018-12-01,124
2019-01-01,107
2019-02-01,108
2019-03-01,106
2019-04-01,117
2019-05-01,123
2019-06-01,105
2019-07-01,116
2019-08-01,126
2019-09-01,149
2019-10-01,142
2019-11-01,117
2019-12-01,139
2020-01-01,158
2020-02-01,138
