DATE,JTS2300JOL
01/12/2000,233
01/01/2001,241
01/02/2001,253
01/03/2001,188
01/04/2001,226
01/05/2001,224
01/06/2001,174
01/07/2001,178
01/08/2001,127
01/09/2001,167
01/10/2001,141
01/11/2001,164
01/12/2001,124
01/01/2002,129
01/02/2002,110
01/03/2002,139
01/04/2002,120
01/05/2002,136
01/06/2002,140
01/07/2002,102
01/08/2002,114
01/09/2002,142
01/10/2002,126
01/11/2002,110
01/12/2002,111
01/01/2003,107
01/02/2003,92
01/03/2003,90
01/04/2003,138
01/05/2003,104
01/06/2003,112
01/07/2003,136
01/08/2003,112
01/09/2003,79
01/10/2003,105
01/11/2003,118
01/12/2003,135
01/01/2004,170
01/02/2004,125
01/03/2004,149
01/04/2004,146
01/05/2004,150
01/06/2004,116
01/07/2004,124
01/08/2004,148
01/09/2004,112
01/10/2004,148
01/11/2004,146
01/12/2004,175
01/01/2005,144
01/02/2005,166
01/03/2005,167
01/04/2005,134
01/05/2005,120
01/06/2005,134
01/07/2005,151
01/08/2005,156
01/09/2005,153
01/10/2005,182
01/11/2005,177
01/12/2005,158
01/01/2006,171
01/02/2006,163
01/03/2006,180
01/04/2006,183
01/05/2006,158
01/06/2006,170
01/07/2006,175
01/08/2006,189
01/09/2006,165
01/10/2006,163
01/11/2006,140
01/12/2006,139
01/01/2007,266
01/02/2007,261
01/03/2007,184
01/04/2007,182
01/05/2007,168
01/06/2007,174
01/07/2007,183
01/08/2007,163
01/09/2007,137
01/10/2007,166
01/11/2007,143
01/12/2007,145
01/01/2008,158
01/02/2008,136
01/03/2008,104
01/04/2008,101
01/05/2008,167
01/06/2008,134
01/07/2008,117
01/08/2008,79
01/09/2008,111
01/10/2008,73
01/11/2008,70
01/12/2008,64
01/01/2009,41
01/02/2009,82
01/03/2009,47
01/04/2009,24
01/05/2009,46
01/06/2009,61
01/07/2009,45
01/08/2009,58
01/09/2009,64
01/10/2009,55
01/11/2009,65
01/12/2009,77
01/01/2010,58
01/02/2010,73
01/03/2010,84
01/04/2010,85
01/05/2010,78
01/06/2010,74
01/07/2010,102
01/08/2010,52
01/09/2010,77
01/10/2010,67
01/11/2010,88
01/12/2010,46
01/01/2011,65
01/02/2011,51
01/03/2011,65
01/04/2011,77
01/05/2011,109
01/06/2011,68
01/07/2011,85
01/08/2011,98
01/09/2011,87
01/10/2011,82
01/11/2011,84
01/12/2011,79
01/01/2012,89
01/02/2012,68
01/03/2012,91
01/04/2012,113
01/05/2012,92
01/06/2012,62
01/07/2012,88
01/08/2012,117
01/09/2012,95
01/10/2012,106
01/11/2012,97
01/12/2012,129
01/01/2013,120
01/02/2013,137
01/03/2013,116
01/04/2013,113
01/05/2013,120
01/06/2013,131
01/07/2013,104
01/08/2013,112
01/09/2013,128
01/10/2013,137
01/11/2013,156
01/12/2013,119
01/01/2014,155
01/02/2014,139
01/03/2014,125
01/04/2014,116
01/05/2014,119
01/06/2014,155
01/07/2014,149
01/08/2014,127
01/09/2014,116
01/10/2014,149
01/11/2014,139
01/12/2014,139
01/01/2015,147
01/02/2015,171
01/03/2015,165
01/04/2015,152
01/05/2015,158
01/06/2015,145
01/07/2015,147
01/08/2015,143
01/09/2015,122
01/10/2015,136
01/11/2015,123
01/12/2015,158
01/01/2016,169
01/02/2016,193
01/03/2016,206
01/04/2016,178
01/05/2016,176
01/06/2016,178
01/07/2016,210
01/08/2016,186
01/09/2016,260
01/10/2016,219
01/11/2016,204
01/12/2016,183
01/01/2017,159
01/02/2017,190
01/03/2017,173
01/04/2017,208
01/05/2017,171
01/06/2017,211
01/07/2017,210
01/08/2017,205
01/09/2017,192
01/10/2017,204
01/11/2017,244
01/12/2017,228
01/01/2018,252
01/02/2018,213
01/03/2018,221
01/04/2018,235
01/05/2018,263
01/06/2018,310
01/07/2018,279
01/08/2018,289
01/09/2018,301
01/10/2018,277
01/11/2018,302
01/12/2018,341
01/01/2019,306
01/02/2019,286
01/03/2019,347
01/04/2019,414
01/05/2019,357
01/06/2019,312
01/07/2019,320
01/08/2019,323
01/09/2019,331
01/10/2019,324
01/11/2019,241
01/12/2019,258
01/01/2020,296
01/02/2020,302
