DATE,JTS610000000000000JOL,,,
01/12/2000,55,,,
01/01/2001,40,,,
01/02/2001,57,,,
01/03/2001,57,,,
01/04/2001,62,,,
01/05/2001,71,,,
01/06/2001,49,,,
01/07/2001,55,,,
01/08/2001,56,,,
01/09/2001,55,,,
01/10/2001,53,,,
01/11/2001,51,,,
01/12/2001,49,,,
01/01/2002,60,,,
01/02/2002,62,,,
01/03/2002,46,,,
01/04/2002,52,,,
01/05/2002,42,,,
01/06/2002,103,,,
01/07/2002,54,,,
01/08/2002,54,,,
01/09/2002,52,,,
01/10/2002,43,,,
01/11/2002,47,,,
01/12/2002,50,,,
01/01/2003,50,,,
01/02/2003,40,,,
01/03/2003,42,,,
01/04/2003,47,,,
01/05/2003,50,,,
01/06/2003,56,,,
01/07/2003,51,,,
01/08/2003,42,,,
01/09/2003,38,,,
01/10/2003,50,,,
01/11/2003,49,,,
01/12/2003,45,,,
01/01/2004,45,,,
01/02/2004,51,,,
01/03/2004,57,,,
01/04/2004,48,,,
01/05/2004,51,,,
01/06/2004,42,,,
01/07/2004,57,,,
01/08/2004,55,,,
01/09/2004,51,,,
01/10/2004,85,,,
01/11/2004,56,,,
01/12/2004,66,,,
01/01/2005,56,,,
01/02/2005,43,,,
01/03/2005,67,,,
01/04/2005,66,,,
01/05/2005,71,,,
01/06/2005,95,,,
01/07/2005,64,,,
01/08/2005,68,,,
01/09/2005,83,,,
01/10/2005,79,,,
01/11/2005,77,,,
01/12/2005,72,,,
01/01/2006,81,,,
01/02/2006,75,,,
01/03/2006,96,,,
01/04/2006,75,,,
01/05/2006,79,,,
01/06/2006,49,,,
01/07/2006,65,,,
01/08/2006,70,,,
01/09/2006,79,,,
01/10/2006,65,,,
01/11/2006,74,,,
01/12/2006,69,,,
01/01/2007,62,,,
01/02/2007,70,,,
01/03/2007,73,,,
01/04/2007,72,,,
01/05/2007,66,,,
01/06/2007,86,,,
01/07/2007,67,,,
01/08/2007,79,,,
01/09/2007,76,,,
01/10/2007,71,,,
01/11/2007,72,,,
01/12/2007,69,,,
01/01/2008,67,,,
01/02/2008,67,,,
01/03/2008,67,,,
01/04/2008,71,,,
01/05/2008,66,,,
01/06/2008,61,,,
01/07/2008,95,,,
01/08/2008,67,,,
01/09/2008,53,,,
01/10/2008,73,,,
01/11/2008,68,,,
01/12/2008,74,,,
01/01/2009,66,,,
01/02/2009,53,,,
01/03/2009,47,,,
01/04/2009,47,,,
01/05/2009,40,,,
01/06/2009,57,,,
01/07/2009,41,,,
01/08/2009,52,,,
01/09/2009,41,,,
01/10/2009,44,,,
01/11/2009,40,,,
01/12/2009,54,,,
01/01/2010,29,,,
01/02/2010,63,,,
01/03/2010,86,,,
01/04/2010,58,,,
01/05/2010,71,,,
01/06/2010,53,,,
01/07/2010,66,,,
01/08/2010,54,,,
01/09/2010,53,,,
01/10/2010,64,,,
01/11/2010,62,,,
01/12/2010,59,,,
01/01/2011,73,,,
01/02/2011,69,,,
01/03/2011,59,,,
01/04/2011,71,,,
01/05/2011,49,,,
01/06/2011,75,,,
01/07/2011,67,,,
01/08/2011,68,,,
01/09/2011,73,,,
01/10/2011,64,,,
01/11/2011,63,,,
01/12/2011,56,,,
01/01/2012,55,,,
01/02/2012,66,,,
01/03/2012,68,,,
01/04/2012,61,,,
01/05/2012,68,,,
01/06/2012,60,,,
01/07/2012,85,,,
01/08/2012,66,,,
01/09/2012,69,,,
01/10/2012,61,,,
01/11/2012,68,,,
01/12/2012,65,,,
01/01/2013,68,,,
01/02/2013,61,,,
01/03/2013,75,,,
01/04/2013,70,,,
01/05/2013,69,,,
01/06/2013,69,,,
01/07/2013,73,,,
01/08/2013,73,,,
01/09/2013,68,,,
01/10/2013,77,,,
01/11/2013,83,,,
01/12/2013,81,,,
01/01/2014,74,,,
01/02/2014,72,,,
01/03/2014,80,,,
01/04/2014,80,,,
01/05/2014,83,,,
01/06/2014,110,,,
01/07/2014,85,,,
01/08/2014,90,,,
01/09/2014,106,,,
01/10/2014,90,,,
01/11/2014,89,,,
01/12/2014,95,,,
01/01/2015,103,,,
01/02/2015,104,,,
01/03/2015,92,,,
01/04/2015,98,,,
01/05/2015,96,,,
01/06/2015,103,,,
01/07/2015,124,,,
01/08/2015,98,,,
01/09/2015,95,,,
01/10/2015,125,,,
01/11/2015,107,,,
01/12/2015,126,,,
01/01/2016,84,,,
01/02/2016,129,,,
01/03/2016,105,,,
01/04/2016,122,,,
01/05/2016,107,,,
01/06/2016,99,,,
01/07/2016,99,,,
01/08/2016,88,,,
01/09/2016,114,,,
01/10/2016,133,,,
01/11/2016,98,,,
01/12/2016,103,,,
01/01/2017,68,,,
01/02/2017,133,,,
01/03/2017,104,,,
01/04/2017,91,,,
01/05/2017,98,,,
01/06/2017,90,,,
01/07/2017,118,,,
01/08/2017,107,,,
01/09/2017,101,,,
01/10/2017,98,,,
01/11/2017,111,,,
01/12/2017,96,,,
01/01/2018,107,,,
01/02/2018,100,,,
01/03/2018,109,,,
01/04/2018,99,,,
01/05/2018,104,,,
01/06/2018,139,,,
01/07/2018,111,,,
01/08/2018,124,,,
01/09/2018,85,,,
01/10/2018,95,,,
01/11/2018,96,,,
01/12/2018,103,,,
01/01/2019,119,,,
01/02/2019,110,,,
01/03/2019,113,,,
01/04/2019,128,,,
01/05/2019,129,,,
01/06/2019,119,,,
01/07/2019,109,,,
01/08/2019,120,,,
01/09/2019,131,,,
01/10/2019,124,,,
01/11/2019,145,,,
01/12/2019,112,,,
01/01/2020,117,,,
01/02/2020,116,,,
