DATE,JTS520000000000000JOL
01/12/2000,208
01/01/2001,191
01/02/2001,218
01/03/2001,216
01/04/2001,189
01/05/2001,213
01/06/2001,223
01/07/2001,200
01/08/2001,189
01/09/2001,211
01/10/2001,161
01/11/2001,165
01/12/2001,162
01/01/2002,233
01/02/2002,134
01/03/2002,191
01/04/2002,182
01/05/2002,164
01/06/2002,182
01/07/2002,150
01/08/2002,164
01/09/2002,142
01/10/2002,216
01/11/2002,197
01/12/2002,181
01/01/2003,163
01/02/2003,134
01/03/2003,147
01/04/2003,153
01/05/2003,174
01/06/2003,156
01/07/2003,166
01/08/2003,188
01/09/2003,170
01/10/2003,172
01/11/2003,181
01/12/2003,165
01/01/2004,227
01/02/2004,220
01/03/2004,187
01/04/2004,221
01/05/2004,211
01/06/2004,179
01/07/2004,247
01/08/2004,213
01/09/2004,257
01/10/2004,226
01/11/2004,198
01/12/2004,234
01/01/2005,231
01/02/2005,204
01/03/2005,214
01/04/2005,231
01/05/2005,162
01/06/2005,224
01/07/2005,252
01/08/2005,242
01/09/2005,225
01/10/2005,296
01/11/2005,259
01/12/2005,315
01/01/2006,297
01/02/2006,306
01/03/2006,300
01/04/2006,335
01/05/2006,265
01/06/2006,262
01/07/2006,178
01/08/2006,225
01/09/2006,213
01/10/2006,252
01/11/2006,249
01/12/2006,213
01/01/2007,175
01/02/2007,222
01/03/2007,273
01/04/2007,152
01/05/2007,224
01/06/2007,221
01/07/2007,227
01/08/2007,240
01/09/2007,222
01/10/2007,187
01/11/2007,178
01/12/2007,179
01/01/2008,260
01/02/2008,182
01/03/2008,176
01/04/2008,140
01/05/2008,144
01/06/2008,141
01/07/2008,143
01/08/2008,176
01/09/2008,148
01/10/2008,106
01/11/2008,142
01/12/2008,177
01/01/2009,96
01/02/2009,143
01/03/2009,100
01/04/2009,76
01/05/2009,133
01/06/2009,119
01/07/2009,85
01/08/2009,92
01/09/2009,122
01/10/2009,80
01/11/2009,143
01/12/2009,111
01/01/2010,142
01/02/2010,117
01/03/2010,146
01/04/2010,192
01/05/2010,178
01/06/2010,159
01/07/2010,179
01/08/2010,174
01/09/2010,194
01/10/2010,198
01/11/2010,217
01/12/2010,180
01/01/2011,201
01/02/2011,173
01/03/2011,166
01/04/2011,179
01/05/2011,155
01/06/2011,172
01/07/2011,183
01/08/2011,129
01/09/2011,139
01/10/2011,176
01/11/2011,139
01/12/2011,182
01/01/2012,159
01/02/2012,139
01/03/2012,194
01/04/2012,180
01/05/2012,166
01/06/2012,180
01/07/2012,166
01/08/2012,205
01/09/2012,213
01/10/2012,198
01/11/2012,187
01/12/2012,184
01/01/2013,143
01/02/2013,244
01/03/2013,268
01/04/2013,204
01/05/2013,223
01/06/2013,248
01/07/2013,292
01/08/2013,184
01/09/2013,213
01/10/2013,226
01/11/2013,170
01/12/2013,188
01/01/2014,164
01/02/2014,199
01/03/2014,214
01/04/2014,220
01/05/2014,234
01/06/2014,280
01/07/2014,236
01/08/2014,285
01/09/2014,212
01/10/2014,305
01/11/2014,234
01/12/2014,231
01/01/2015,249
01/02/2015,253
01/03/2015,196
01/04/2015,280
01/05/2015,272
01/06/2015,211
01/07/2015,243
01/08/2015,239
01/09/2015,263
01/10/2015,259
01/11/2015,293
01/12/2015,325
01/01/2016,290
01/02/2016,231
01/03/2016,254
01/04/2016,264
01/05/2016,268
01/06/2016,239
01/07/2016,263
01/08/2016,272
01/09/2016,271
01/10/2016,239
01/11/2016,278
01/12/2016,298
01/01/2017,254
01/02/2017,283
01/03/2017,283
01/04/2017,342
01/05/2017,272
01/06/2017,306
01/07/2017,273
01/08/2017,244
01/09/2017,352
01/10/2017,282
01/11/2017,290
01/12/2017,280
01/01/2018,314
01/02/2018,338
01/03/2018,320
01/04/2018,221
01/05/2018,275
01/06/2018,274
01/07/2018,343
01/08/2018,328
01/09/2018,278
01/10/2018,290
01/11/2018,328
01/12/2018,286
01/01/2019,284
01/02/2019,266
01/03/2019,242
01/04/2019,239
01/05/2019,272
01/06/2019,272
01/07/2019,262
01/08/2019,282
01/09/2019,277
01/10/2019,325
01/11/2019,270
01/12/2019,229
01/01/2020,319
01/02/2020,312
