DATE,JTS6200JOL
2000-12-01,864
2001-01-01,801
2001-02-01,751
2001-03-01,761
2001-04-01,645
2001-05-01,740
2001-06-01,716
2001-07-01,749
2001-08-01,791
2001-09-01,717
2001-10-01,704
2001-11-01,682
2001-12-01,697
2002-01-01,696
2002-02-01,704
2002-03-01,673
2002-04-01,650
2002-05-01,612
2002-06-01,658
2002-07-01,635
2002-08-01,657
2002-09-01,660
2002-10-01,614
2002-11-01,715
2002-12-01,584
2003-01-01,590
2003-02-01,554
2003-03-01,539
2003-04-01,565
2003-05-01,600
2003-06-01,548
2003-07-01,488
2003-08-01,521
2003-09-01,513
2003-10-01,561
2003-11-01,533
2003-12-01,521
2004-01-01,568
2004-02-01,560
2004-03-01,578
2004-04-01,577
2004-05-01,574
2004-06-01,496
2004-07-01,555
2004-08-01,546
2004-09-01,552
2004-10-01,586
2004-11-01,570
2004-12-01,590
2005-01-01,554
2005-02-01,589
2005-03-01,622
2005-04-01,600
2005-05-01,626
2005-06-01,601
2005-07-01,635
2005-08-01,625
2005-09-01,636
2005-10-01,610
2005-11-01,602
2005-12-01,620
2006-01-01,654
2006-02-01,671
2006-03-01,627
2006-04-01,653
2006-05-01,612
2006-06-01,670
2006-07-01,565
2006-08-01,696
2006-09-01,686
2006-10-01,711
2006-11-01,736
2006-12-01,698
2007-01-01,694
2007-02-01,656
2007-03-01,695
2007-04-01,707
2007-05-01,749
2007-06-01,733
2007-07-01,668
2007-08-01,723
2007-09-01,795
2007-10-01,674
2007-11-01,696
2007-12-01,712
2008-01-01,680
2008-02-01,740
2008-03-01,727
2008-04-01,644
2008-05-01,668
2008-06-01,699
2008-07-01,670
2008-08-01,633
2008-09-01,559
2008-10-01,592
2008-11-01,606
2008-12-01,548
2009-01-01,521
2009-02-01,501
2009-03-01,467
2009-04-01,466
2009-05-01,487
2009-06-01,470
2009-07-01,492
2009-08-01,487
2009-09-01,505
2009-10-01,483
2009-11-01,474
2009-12-01,493
2010-01-01,589
2010-02-01,461
2010-03-01,450
2010-04-01,456
2010-05-01,435
2010-06-01,408
2010-07-01,470
2010-08-01,436
2010-09-01,469
2010-10-01,562
2010-11-01,495
2010-12-01,493
2011-01-01,473
2011-02-01,505
2011-03-01,547
2011-04-01,533
2011-05-01,534
2011-06-01,544
2011-07-01,565
2011-08-01,577
2011-09-01,545
2011-10-01,569
2011-11-01,579
2011-12-01,579
2012-01-01,625
2012-02-01,615
2012-03-01,625
2012-04-01,619
2012-05-01,656
2012-06-01,702
2012-07-01,596
2012-08-01,596
2012-09-01,650
2012-10-01,642
2012-11-01,667
2012-12-01,647
2013-01-01,560
2013-02-01,631
2013-03-01,637
2013-04-01,646
2013-05-01,617
2013-06-01,615
2013-07-01,571
2013-08-01,680
2013-09-01,610
2013-10-01,606
2013-11-01,579
2013-12-01,537
2014-01-01,630
2014-02-01,660
2014-03-01,678
2014-04-01,642
2014-05-01,734
2014-06-01,739
2014-07-01,784
2014-08-01,840
2014-09-01,779
2014-10-01,801
2014-11-01,711
2014-12-01,846
2015-01-01,815
2015-02-01,823
2015-03-01,815
2015-04-01,905
2015-05-01,890
2015-06-01,903
2015-07-01,1047
2015-08-01,942
2015-09-01,982
2015-10-01,950
2015-11-01,994
2015-12-01,939
2016-01-01,1095
2016-02-01,891
2016-03-01,973
2016-04-01,983
2016-05-01,991
2016-06-01,971
2016-07-01,1018
2016-08-01,966
2016-09-01,997
2016-10-01,1105
2016-11-01,1099
2016-12-01,1097
2017-01-01,1077
2017-02-01,1105
2017-03-01,1017
2017-04-01,1015
2017-05-01,1000
2017-06-01,1093
2017-07-01,1034
2017-08-01,1071
2017-09-01,1040
2017-10-01,1040
2017-11-01,1013
2017-12-01,1056
2018-01-01,1045
2018-02-01,1087
2018-03-01,1115
2018-04-01,1121
2018-05-01,1102
2018-06-01,1131
2018-07-01,1122
2018-08-01,1128
2018-09-01,1202
2018-10-01,1143
2018-11-01,1166
2018-12-01,1208
2019-01-01,1230
2019-02-01,1107
2019-03-01,1253
2019-04-01,1253
2019-05-01,1240
2019-06-01,1182
2019-07-01,1192
2019-08-01,1208
2019-09-01,1115
2019-10-01,1179
2019-11-01,1171
2019-12-01,1115
2020-01-01,1204
2020-02-01,1146
