DATE,JTS110099000000000JOL
01/12/2000,8
01/01/2001,12
01/02/2001,8
01/03/2001,18
01/04/2001,18
01/05/2001,15
01/06/2001,10
01/07/2001,12
01/08/2001,13
01/09/2001,11
01/10/2001,11
01/11/2001,7
01/12/2001,17
01/01/2002,15
01/02/2002,17
01/03/2002,4
01/04/2002,8
01/05/2002,6
01/06/2002,8
01/07/2002,7
01/08/2002,8
01/09/2002,6
01/10/2002,9
01/11/2002,7
01/12/2002,4
01/01/2003,5
01/02/2003,6
01/03/2003,4
01/04/2003,5
01/05/2003,10
01/06/2003,8
01/07/2003,10
01/08/2003,6
01/09/2003,8
01/10/2003,7
01/11/2003,6
01/12/2003,9
01/01/2004,9
01/02/2004,6
01/03/2004,9
01/04/2004,10
01/05/2004,9
01/06/2004,10
01/07/2004,9
01/08/2004,8
01/09/2004,9
01/10/2004,9
01/11/2004,11
01/12/2004,11
01/01/2005,11
01/02/2005,10
01/03/2005,13
01/04/2005,10
01/05/2005,13
01/06/2005,12
01/07/2005,13
01/08/2005,13
01/09/2005,20
01/10/2005,13
01/11/2005,16
01/12/2005,13
01/01/2006,13
01/02/2006,16
01/03/2006,16
01/04/2006,15
01/05/2006,16
01/06/2006,20
01/07/2006,13
01/08/2006,18
01/09/2006,17
01/10/2006,18
01/11/2006,17
01/12/2006,17
01/01/2007,15
01/02/2007,12
01/03/2007,18
01/04/2007,15
01/05/2007,15
01/06/2007,11
01/07/2007,14
01/08/2007,12
01/09/2007,14
01/10/2007,12
01/11/2007,14
01/12/2007,19
01/01/2008,14
01/02/2008,16
01/03/2008,13
01/04/2008,14
01/05/2008,15
01/06/2008,17
01/07/2008,28
01/08/2008,23
01/09/2008,13
01/10/2008,13
01/11/2008,13
01/12/2008,13
01/01/2009,18
01/02/2009,9
01/03/2009,7
01/04/2009,8
01/05/2009,9
01/06/2009,5
01/07/2009,3
01/08/2009,4
01/09/2009,7
01/10/2009,7
01/11/2009,7
01/12/2009,6
01/01/2010,8
01/02/2010,13
01/03/2010,12
01/04/2010,17
01/05/2010,17
01/06/2010,14
01/07/2010,12
01/08/2010,15
01/09/2010,16
01/10/2010,21
01/11/2010,22
01/12/2010,19
01/01/2011,30
01/02/2011,19
01/03/2011,34
01/04/2011,26
01/05/2011,18
01/06/2011,14
01/07/2011,27
01/08/2011,22
01/09/2011,24
01/10/2011,21
01/11/2011,24
01/12/2011,30
01/01/2012,25
01/02/2012,26
01/03/2012,20
01/04/2012,17
01/05/2012,22
01/06/2012,19
01/07/2012,14
01/08/2012,18
01/09/2012,15
01/10/2012,13
01/11/2012,17
01/12/2012,17
01/01/2013,18
01/02/2013,28
01/03/2013,16
01/04/2013,20
01/05/2013,19
01/06/2013,20
01/07/2013,23
01/08/2013,24
01/09/2013,19
01/10/2013,21
01/11/2013,18
01/12/2013,23
01/01/2014,24
01/02/2014,26
01/03/2014,35
01/04/2014,25
01/05/2014,32
01/06/2014,31
01/07/2014,31
01/08/2014,32
01/09/2014,30
01/10/2014,34
01/11/2014,31
01/12/2014,20
01/01/2015,15
01/02/2015,13
01/03/2015,16
01/04/2015,14
01/05/2015,15
01/06/2015,18
01/07/2015,19
01/08/2015,14
01/09/2015,18
01/10/2015,16
01/11/2015,17
01/12/2015,18
01/01/2016,12
01/02/2016,12
01/03/2016,11
01/04/2016,12
01/05/2016,11
01/06/2016,11
01/07/2016,9
01/08/2016,11
01/09/2016,15
01/10/2016,11
01/11/2016,21
01/12/2016,26
01/01/2017,27
01/02/2017,26
01/03/2017,19
01/04/2017,29
01/05/2017,26
01/06/2017,27
01/07/2017,29
01/08/2017,29
01/09/2017,25
01/10/2017,28
01/11/2017,27
01/12/2017,25
01/01/2018,27
01/02/2018,29
01/03/2018,28
01/04/2018,34
01/05/2018,28
01/06/2018,28
01/07/2018,26
01/08/2018,30
01/09/2018,31
01/10/2018,33
01/11/2018,30
01/12/2018,29
01/01/2019,31
01/02/2019,31
01/03/2019,31
01/04/2019,28
01/05/2019,29
01/06/2019,28
01/07/2019,35
01/08/2019,29
01/09/2019,29
01/10/2019,20
01/11/2019,20
01/12/2019,18
01/01/2020,19
01/02/2020,24
