DATE,JTS810000000000000JOL
01/12/2000,299
01/01/2001,310
01/02/2001,125
01/03/2001,142
01/04/2001,162
01/05/2001,192
01/06/2001,248
01/07/2001,242
01/08/2001,201
01/09/2001,233
01/10/2001,192
01/11/2001,166
01/12/2001,174
01/01/2002,165
01/02/2002,148
01/03/2002,161
01/04/2002,143
01/05/2002,158
01/06/2002,110
01/07/2002,112
01/08/2002,140
01/09/2002,142
01/10/2002,152
01/11/2002,162
01/12/2002,132
01/01/2003,133
01/02/2003,172
01/03/2003,129
01/04/2003,159
01/05/2003,123
01/06/2003,136
01/07/2003,104
01/08/2003,117
01/09/2003,105
01/10/2003,107
01/11/2003,140
01/12/2003,144
01/01/2004,159
01/02/2004,173
01/03/2004,176
01/04/2004,131
01/05/2004,165
01/06/2004,94
01/07/2004,168
01/08/2004,130
01/09/2004,130
01/10/2004,150
01/11/2004,148
01/12/2004,150
01/01/2005,153
01/02/2005,126
01/03/2005,164
01/04/2005,183
01/05/2005,140
01/06/2005,141
01/07/2005,170
01/08/2005,144
01/09/2005,204
01/10/2005,235
01/11/2005,130
01/12/2005,106
01/01/2006,104
01/02/2006,84
01/03/2006,208
01/04/2006,143
01/05/2006,168
01/06/2006,163
01/07/2006,166
01/08/2006,206
01/09/2006,207
01/10/2006,175
01/11/2006,169
01/12/2006,234
01/01/2007,184
01/02/2007,250
01/03/2007,168
01/04/2007,161
01/05/2007,165
01/06/2007,184
01/07/2007,150
01/08/2007,162
01/09/2007,174
01/10/2007,220
01/11/2007,183
01/12/2007,139
01/01/2008,187
01/02/2008,135
01/03/2008,143
01/04/2008,185
01/05/2008,190
01/06/2008,156
01/07/2008,186
01/08/2008,208
01/09/2008,122
01/10/2008,167
01/11/2008,178
01/12/2008,211
01/01/2009,132
01/02/2009,148
01/03/2009,139
01/04/2009,117
01/05/2009,109
01/06/2009,156
01/07/2009,108
01/08/2009,119
01/09/2009,93
01/10/2009,95
01/11/2009,114
01/12/2009,123
01/01/2010,154
01/02/2010,161
01/03/2010,136
01/04/2010,197
01/05/2010,122
01/06/2010,111
01/07/2010,159
01/08/2010,142
01/09/2010,114
01/10/2010,111
01/11/2010,133
01/12/2010,104
01/01/2011,117
01/02/2011,137
01/03/2011,106
01/04/2011,106
01/05/2011,111
01/06/2011,133
01/07/2011,124
01/08/2011,92
01/09/2011,154
01/10/2011,122
01/11/2011,113
01/12/2011,123
01/01/2012,115
01/02/2012,141
01/03/2012,136
01/04/2012,166
01/05/2012,160
01/06/2012,153
01/07/2012,114
01/08/2012,81
01/09/2012,139
01/10/2012,174
01/11/2012,129
01/12/2012,125
01/01/2013,154
01/02/2013,111
01/03/2013,159
01/04/2013,122
01/05/2013,176
01/06/2013,155
01/07/2013,153
01/08/2013,103
01/09/2013,175
01/10/2013,169
01/11/2013,147
01/12/2013,182
01/01/2014,148
01/02/2014,148
01/03/2014,106
01/04/2014,147
01/05/2014,143
01/06/2014,125
01/07/2014,142
01/08/2014,194
01/09/2014,152
01/10/2014,180
01/11/2014,176
01/12/2014,169
01/01/2015,187
01/02/2015,170
01/03/2015,184
01/04/2015,160
01/05/2015,167
01/06/2015,192
01/07/2015,198
01/08/2015,206
01/09/2015,187
01/10/2015,187
01/11/2015,140
01/12/2015,208
01/01/2016,220
01/02/2016,230
01/03/2016,226
01/04/2016,279
01/05/2016,169
01/06/2016,215
01/07/2016,207
01/08/2016,227
01/09/2016,197
01/10/2016,188
01/11/2016,216
01/12/2016,246
01/01/2017,246
01/02/2017,260
01/03/2017,287
01/04/2017,371
01/05/2017,254
01/06/2017,252
01/07/2017,336
01/08/2017,253
01/09/2017,288
01/10/2017,271
01/11/2017,257
01/12/2017,190
01/01/2018,217
01/02/2018,234
01/03/2018,217
01/04/2018,224
01/05/2018,250
01/06/2018,235
01/07/2018,225
01/08/2018,240
01/09/2018,239
01/10/2018,283
01/11/2018,276
01/12/2018,271
01/01/2019,179
01/02/2019,233
01/03/2019,240
01/04/2019,241
01/05/2019,267
01/06/2019,260
01/07/2019,264
01/08/2019,260
01/09/2019,253
01/10/2019,255
01/11/2019,233
01/12/2019,251
01/01/2020,281
01/02/2020,208
