DATE,UEMPMEAN
01/12/2000,12.5
01/01/2001,12.7
01/02/2001,12.8
01/03/2001,12.8
01/04/2001,12.4
01/05/2001,12.1
01/06/2001,12.7
01/07/2001,12.9
01/08/2001,13.3
01/09/2001,13.2
01/10/2001,13.3
01/11/2001,14.3
01/12/2001,14.5
01/01/2002,14.7
01/02/2002,15
01/03/2002,15.4
01/04/2002,16.3
01/05/2002,16.8
01/06/2002,16.9
01/07/2002,16.9
01/08/2002,16.5
01/09/2002,17.6
01/10/2002,17.8
01/11/2002,17.6
01/12/2002,18.5
01/01/2003,18.5
01/02/2003,18.5
01/03/2003,18.1
01/04/2003,19.4
01/05/2003,19
01/06/2003,19.9
01/07/2003,19.7
01/08/2003,19.2
01/09/2003,19.5
01/10/2003,19.3
01/11/2003,19.9
01/12/2003,19.8
01/01/2004,19.9
01/02/2004,20.1
01/03/2004,19.8
01/04/2004,19.6
01/05/2004,19.8
01/06/2004,20.5
01/07/2004,18.8
01/08/2004,18.8
01/09/2004,19.4
01/10/2004,19.5
01/11/2004,19.7
01/12/2004,19.4
01/01/2005,19.5
01/02/2005,19.1
01/03/2005,19.5
01/04/2005,19.6
01/05/2005,18.6
01/06/2005,17.9
01/07/2005,17.6
01/08/2005,18.4
01/09/2005,17.9
01/10/2005,17.9
01/11/2005,17.5
01/12/2005,17.5
01/01/2006,16.9
01/02/2006,17.8
01/03/2006,17.1
01/04/2006,16.7
01/05/2006,17.1
01/06/2006,16.6
01/07/2006,17.1
01/08/2006,17.1
01/09/2006,17.1
01/10/2006,16.3
01/11/2006,16.2
01/12/2006,16.1
01/01/2007,16.3
01/02/2007,16.7
01/03/2007,17.8
01/04/2007,16.9
01/05/2007,16.6
01/06/2007,16.5
01/07/2007,17.2
01/08/2007,17
01/09/2007,16.3
01/10/2007,17
01/11/2007,17.3
01/12/2007,16.6
01/01/2008,17.5
01/02/2008,16.9
01/03/2008,16.5
01/04/2008,16.9
01/05/2008,16.6
01/06/2008,17.1
01/07/2008,17
01/08/2008,17.7
01/09/2008,18.6
01/10/2008,19.9
01/11/2008,18.9
01/12/2008,19.9
01/01/2009,19.8
01/02/2009,20.2
01/03/2009,20.9
01/04/2009,21.7
01/05/2009,22.4
01/06/2009,23.9
01/07/2009,25.1
01/08/2009,25.3
01/09/2009,26.6
01/10/2009,27.5
01/11/2009,28.9
01/12/2009,29.7
01/01/2010,30.3
01/02/2010,29.8
01/03/2010,31.6
01/04/2010,33.3
01/05/2010,34
01/06/2010,34.5
01/07/2010,33.9
01/08/2010,33.7
01/09/2010,33.4
01/10/2010,34
01/11/2010,33.9
01/12/2010,34.7
01/01/2011,37.2
01/02/2011,37.4
01/03/2011,39.1
01/04/2011,38.7
01/05/2011,39.6
01/06/2011,39.9
01/07/2011,40.7
01/08/2011,40.5
01/09/2011,40.4
01/10/2011,38.7
01/11/2011,40.2
01/12/2011,40.4
01/01/2012,40.2
01/02/2012,39.7
01/03/2012,39.3
01/04/2012,39.2
01/05/2012,39.6
01/06/2012,40.3
01/07/2012,39.3
01/08/2012,39.6
01/09/2012,39.8
01/10/2012,39.6
01/11/2012,39
01/12/2012,37.6
01/01/2013,35.6
01/02/2013,36.4
01/03/2013,37
01/04/2013,36.5
01/05/2013,36.8
01/06/2013,36.4
01/07/2013,37.3
01/08/2013,37.6
01/09/2013,37.4
01/10/2013,35.1
01/11/2013,36.6
01/12/2013,36.5
01/01/2014,35.1
01/02/2014,36.5
01/03/2014,35.3
01/04/2014,34.9
01/05/2014,34.4
01/06/2014,33.9
01/07/2014,32.7
01/08/2014,32
01/09/2014,31.9
01/10/2014,32.3
01/11/2014,32.7
01/12/2014,32.7
01/01/2015,32
01/02/2015,31.2
01/03/2015,30.5
01/04/2015,30.9
01/05/2015,30.7
01/06/2015,28.4
01/07/2015,28.1
01/08/2015,28.4
01/09/2015,25.7
01/10/2015,27.5
01/11/2015,27.9
01/12/2015,27.9
01/01/2016,29.1
01/02/2016,29.4
01/03/2016,28.3
01/04/2016,27.9
01/05/2016,26.9
01/06/2016,28
01/07/2016,27.8
01/08/2016,27.2
01/09/2016,26.5
01/10/2016,26.6
01/11/2016,25.9
01/12/2016,26.3
01/01/2017,25.4
01/02/2017,25.5
01/03/2017,25.3
01/04/2017,23.9
01/05/2017,24.9
01/06/2017,25.1
01/07/2017,25
01/08/2017,24.2
01/09/2017,26.1
01/10/2017,25.7
01/11/2017,25.2
01/12/2017,24
01/01/2018,24.3
01/02/2018,23
01/03/2018,24
01/04/2018,22.5
01/05/2018,21.1
01/06/2018,21.5
01/07/2018,23.3
01/08/2018,22.6
01/09/2018,23.9
01/10/2018,22.4
01/11/2018,21.6
01/12/2018,22
01/01/2019,20.9
01/02/2019,21.8
01/03/2019,22.1
01/04/2019,22.5
01/05/2019,24.3
01/06/2019,22.3
01/07/2019,20
01/08/2019,22.1
01/09/2019,22.1
01/10/2019,21.8
01/11/2019,19.7
01/12/2019,20.8
01/01/2020,22.2
01/02/2020,20.8
